Environment_Mat1,Environment_Mat2,Environment_Mat3,Environment_Mat4,Environment_Mat5,Environment_Mat6,Environment_Mat7,Environment_Mat8,Environment_Mat9,Environment_Mat10,Environment_Mat11,Environment_Mat12,Environment_Mat13,Environment_Mat14,Environment_Mat15,Environment_Mat16
filename,# of obs,obs start,obs end,mean cond,std cond,mean LeafT,std LeafT,mean AirT,std AirT,mean PARi,std PARi,mean VPDL,std VPDL,mean RH_S,std RH_S
ACI_curve4_1242012-tnf-tr11-curves-b2.csv,11,28,38,0.0105627272727273,0.00186563174774172,31.6563636363636,0.0431909081341729,29.8872727272727,0.0127207775634263,2000,0.632455532033676,3.12545454545455,0.00820199532264723,36.7727272727273,0.379791808997796
ACI_curve4_2015-28-7-tnf-caferana1-b2_4.csv,12,17,28,0.0260333333333333,0.00666460574205029,31.0291666666667,0.024664414311581,30.3133333333333,0.0130267789455781,1499.33333333333,0.492365963917331,1.74916666666667,0.0305876782480472,63.8558333333333,0.703322741554601
ACI_curve5_08242013-tnf-tr504-hux1.csv,14,66,79,0.0199857142857143,0.000785304588489904,30.7835714285714,0.0489280701025095,29.6485714285714,0.0165748386032953,2000.28571428571,0.611249845502127,2.22071428571429,0.0143924583425785,53.5421428571429,0.270815820791934
ACI_curve5_08262013-tnf-tr500-hux1.csv,10,68,77,0.1164,0.0130059815298791,30.417,0.124726367166957,29.789,0.00994428926011682,1999.9,0.875595035770913,1.734,0.0414192655120242,62.453,0.502749109066011
ACI_curve5_08302013-tnf-tr232-hux1.csv,14,77,90,0.0102342857142857,0.000945781844139174,30.175,0.0259437260831388,29.4821428571429,0.0125137287246205,2000,0.877058019307029,2.17785714285714,0.00699293206753072,51.4157142857143,0.0654821509108557
ACI_curve5_09042012-tnf-tr11-sun-aci_2.csv,14,3,16,0.0534357142857143,0.0348389836278239,31.2385714285714,0.149864407580121,29.6142857142857,0.0983490084979385,1500.28571428571,0.726273039202563,2.61714285714286,0.247337470222011,46.9192857142857,4.86407626503614
ACI_curve5_09142012-tnf-tr-caferana-aci_2.csv,11,3,13,0.0358727272727273,0.0128738565246853,31.0481818181818,0.0397034461522373,30.3818181818182,0.0125045446283994,999.909090909091,1.13618180363404,2.56909090909091,0.0639459999459771,44.8927272727273,1.25315674126656
ACI_curve5_1010-tnf-tr9-aci-hux1.csv,15,31,45,0.0733866666666667,0.00747403760327964,30.578,0.0405674042269688,30.1206666666667,0.0109978352848356,1500.33333333333,0.487950036474267,2.13333333333333,0.0191485421551268,52.9613333333333,0.281167633441756
ACI_curve5_10112012-tnf-tr9-aci-b2.csv,13,34,46,0.0199384615384615,0.00110494227717896,31.0623076923077,0.244443376066041,30.0953846153846,0.0150639661750511,1500,0.816496580927726,2.58461538461538,0.0553195843283048,45.3584615384615,0.174587425752168
ACI_curve5_10172012-tnf-tr9-aci-b2.csv,12,19,30,0.0508583333333333,0.000826227278145374,30.6725,0.184692619333756,30.2791666666667,0.0339674532278749,1499.66666666667,0.492365963917331,2.1925,0.0463435785489993,51.6091666666667,0.209260965101357
ACI_curve5_11162012-tnf-caferana-b2.csv,13,31,43,0.0211384615384615,0.00396117374472484,29.8807692307692,0.157292802254349,29.7607692307692,0.0266024868704476,1000,0.408248290463863,3.27230769230769,0.0324432443285825,22.8438461538462,0.488561467670454
ACI_curve5_11212013-tnf-understory1_of_504-b2.csv,14,79,92,0.0536857142857143,0.00931432784996874,32.0328571428571,0.28760091396636,29.9457142857143,0.00851630627252549,1999.78571428571,0.699293206753068,2.10285714285714,0.0957101852492177,63.1428571428572,0.708372224745725
ACI_curve5_11292012-tnf-tr504-curves-b2.csv,15,29,43,0.14046,0.0265591469312229,29.942,0.254395642370586,30.1006666666667,0.0595778802033423,1999.46666666667,0.743223352957207,2.35866666666667,0.0938742826996881,44.042,1.37724466132306
ACI_curve5_1242012-tnf-tr11-curves-hux1.csv,11,13,23,0.00845272727272727,0.00271596793393844,40.0990909090909,0.0736823649803049,42.9590909090909,0.0396117521588084,2000.09090909091,0.831209414593634,5.44,0.0200000000000001,23.2236363636364,0.315254586874568
ACI_curve5_2015-28-7-tnf-caferana1-b2_4.csv,12,45,56,0.0690083333333333,0.00400986472982757,31.5133333333333,0.0218812220588315,30.2575,0.00866025403784434,1499.5,0.522232967867094,1.78,0.0411206650105405,66.2691666666667,1.05986670116691
ACI_curve6_08242013-tnf-tr504-hux1.csv,14,83,96,0.0752857142857143,0.0281865177029689,30.3435714285714,0.495946758042824,29.7242857142857,0.0453557367611073,2294.64285714286,410.004991928871,1.96571428571429,0.19053424023859,56.7885714285714,1.79932832400938
ACI_curve6_08262013-tnf-tr500-hux1.csv,14,88,101,0.0138857142857143,0.00164637463857697,30.8664285714286,0.0608411731613416,29.8042857142857,0.0122249969100423,2000.28571428571,0.994490316197694,2.08642857142857,0.0127744594087896,56.7328571428571,0.124679809692888
ACI_curve6_08292012-tnf-tr9-aci-shade_2.csv,9,4,12,0.0502777777777778,0.0125336325318897,30.6311111111111,0.0941334749762865,30.1688888888889,0.0136422546197881,999.888888888889,0.333333333333333,2.42444444444444,0.0517472489875334,46.3511111111111,0.670064258941715
ACI_curve6_09082012-tnf-tr504-sun-aci_2.csv,13,1,15,0.0591846153846154,0.0276251348761065,30.8230769230769,0.11331259237059,30.3430769230769,0.0154836555678434,1499.84615384615,0.554700196225229,3.59538461538462,0.0941289350319891,20.0192307692308,1.53933135667439
ACI_curve6_10102012-tnf-tr9-aci-b2.csv,14,32,45,0.107628571428571,0.0277611911895678,30.5142857142857,0.125864046660506,29.9678571428571,0.0105090228108779,1499.28571428571,0.468807230938495,1.95928571428571,0.0799484724166649,57.1185714285714,1.4231539034718
ACI_curve6_10112012-tnf-tr9-aci-hux1.csv,14,32,45,0.0609642857142857,0.023709251915099,30.7178571428571,0.112398916736401,30.2021428571429,0.0176192951175564,1500,0.554700196225229,2.22928571428571,0.0994959825794517,51.2764285714286,1.65480934129704
ACI_curve6_11162012-tnf-caferana-hux1.csv,13,31,43,0.0398153846153846,0.00880490830482693,30.0176923076923,0.130904153623548,30.0353846153846,0.0345483681754974,999.692307692308,0.630425171956115,3.04692307692308,0.0575013935171162,28.5130769230769,0.883934241666055
ACI_curve6_11292012-tnf-tr504-curves-hux1.csv,15,29,43,0.0565933333333333,0.013845704164452,31.3673333333333,0.236355261256883,30.2733333333333,0.0654289873141284,1999.66666666667,0.816496580927726,2.92866666666667,0.0837399603079734,38.8093333333333,0.732251583099949
