Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
17,15:04:04,,,,10,3612.5,0,-0.662,0.0292,1.00E+03,0.679,2.26,29.88,6,1.42,1,2.84,30.17,29.88,30.13,1000.6,1000.58,19.095,19.893,44.02,45.86,500.4,0,14,99.18,-22.1,0.0446,1,-0.22,2.74,1,0,0.16,111115,OK
18,15:06:26,9,shade,young,10,3754,0,5.12,0.028,668,0.753,2.61,31.33,6,1.42,1,2.84,30.26,31.33,30.13,1006.92,999.88,19.179,20.063,44,46.02,500.4,1999,10,99.17,-22.1,0.0446,1,-0.22,2.74,1,0,0.16,111115,OK
19,15:08:27,9,shade,young,10,3875,0,5.16,0.0255,639,0.675,2.56,31.15,6,1.42,1,2.84,30.29,31.15,30.13,1006.82,999.83,19.268,20.061,44.12,45.93,500.3,1499,68,99.17,-22.1,0.0446,1,-0.22,2.74,1,0,0.16,111115,OK
20,15:10:28,9,shade,young,10,3996.5,0,5.08,0.0234,617,0.601,2.49,30.86,6,1.42,1,2.84,30.29,30.86,30.13,1006.83,1000.02,19.364,20.071,44.33,45.95,500.4,1001,10,99.17,-22.1,0.0446,1,-0.22,2.74,1,0,0.16,111115,OK
21,15:12:29,9,shade,young,10,4117.5,0,4.68,0.0212,613,0.525,2.4,30.5,6,1.42,1,2.84,30.26,30.5,30.13,1006.84,1000.6,19.441,20.057,44.57,45.98,500.4,500,9,99.17,-22.1,0.0446,1,-0.22,2.74,1,0,0.16,111115,OK
22,15:14:30,9,shade,young,10,4238.5,0,3.92,0.0194,644,0.468,2.33,30.23,6,1.42,1,2.84,30.23,30.23,30.13,1006.72,1001.46,19.496,20.046,44.79,46.05,500.4,200,8,99.17,-22.1,0.0446,1,-0.22,2.74,1,0,0.16,111115,OK
23,15:16:59,9,shade,young,10,4387,0,2.84,0.0184,719,0.436,2.29,30.09,6,1.42,1,2.84,30.2,30.09,30.13,1004.32,1000.38,19.592,20.104,45.08,46.26,500.1,101,6,99.17,-21.8,0.0631,1,-0.22,2.74,1,0,0.16,111115,OK
24,15:19:33,9,shade,young,10,4541,0,1.75,0.0164,794,0.384,2.26,30.02,6,1.42,1,2.84,30.18,30.02,30.13,1002.72,1000.16,19.711,20.162,45.4,46.44,500.3,50,6,99.16,-22,0.0588,0.7,-0.22,2.74,1,0,0.16,111115,OK
25,15:22:02,9,shade,young,10,4690,0,-0.79,0.015,1.05E+03,0.348,2.23,29.91,6,1.42,1,2.84,30.17,29.91,30.13,999.12,999.65,19.8,20.208,45.64,46.58,500.4,0,4,99.16,-22,0.0637,1,-0.22,2.74,1,0,0.16,111115,OK
