Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
37,12:48:15,us1,shade,position_2__from_most_apical_,3,5447.5,0,-0.756,0.0805,64.3,1.62,1.98,31.23,6,1.25,1,2.5,29.91,31.23,29.95,49.70,50.71,23.812,26.176,55.59,61.11,400.0,2000,5,98.95,4.28,-0.276,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
38,12:49:51,us1,shade,position_2__from_most_apical_,3,5543.5,0,0.226,0.0887,91.1,1.72,1.92,31.06,6,1.25,1,2.5,29.90,31.06,29.95,98.92,98.33,23.842,26.359,55.68,61.55,400.0,2000,1,98.94,4.71,-0.278,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
39,12:51:26,us1,shade,position_2__from_most_apical_,3,5638.5,0,1.25,0.0905,120,1.82,1.99,31.38,6,1.25,1,2.5,29.91,31.38,29.95,149.30,147.02,23.866,26.522,55.72,61.92,400.0,2000,5,98.94,5.12,-0.28,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
40,12:53:14,us1,shade,position_2__from_most_apical_,3,5746.5,0,3.1,0.102,188,1.92,1.87,30.99,6,1.25,1,2.5,29.91,30.99,29.95,250.74,245.38,23.893,26.698,55.79,62.33,400.0,2000,6,98.95,5.73,-0.288,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
41,12:55:09,us1,shade,position_2__from_most_apical_,3,5862.0,0,5.02,0.106,254,2.03,1.91,31.21,6,1.25,1,2.5,29.90,31.21,29.95,350.26,341.69,23.900,26.865,55.84,62.77,400.0,2000,7,98.94,5.8,-0.29,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
47,13:04:21,us1,shade,position_2__from_most_apical_,3,6413.5,0,11.4,0.092,1.23E+03,1.81,1.94,31.27,6,1.25,1,2.5,29.92,31.27,29.95,1497.96,1476.89,24.014,26.658,56.03,62.20,400.0,2000,5,98.93,-3.39,-0.275,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
50,13:09:41,us1,shade,position_2__from_most_apical_,3,6733.5,0,12.3,0.0516,1.77E+03,1.08,2.04,31.27,6,1.25,1,2.5,29.93,31.27,29.95,2251.03,2228.93,24.153,25.731,56.30,59.98,400.0,2000,4,98.92,-17.5,-0.243,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
