Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
2,12:44:05,caferana1,sh,y2,2,232.0,0,4.37,0.0341,1.73E+03,0.636,1.81,30.85,6,1.42,1,2.84,30.31,30.85,30.03,2000.01,1988.74,25.618,26.855,58.68,61.51,300.2,1999,16,99.32,-15.7,-0.534,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
3,12:45:37,caferana1,sh,y2,2,323.0,0,4.02,0.0239,1.66E+03,0.452,1.82,30.81,6,1.42,1,2.84,30.33,30.81,30.03,1999.61,1989.77,25.681,26.560,58.75,60.76,300.2,1751,9,99.31,-15.7,-0.522,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,12:46:59,caferana1,sh,y2,2,404.5,0,4.02,0.0161,1.53E+03,0.304,1.82,30.70,6,1.42,1,2.84,30.32,30.70,30.03,1999.94,1990.71,25.729,26.320,58.90,60.25,300.2,1501,6,99.31,-15.8,-0.521,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,12:48:23,caferana1,sh,y2,2,487.5,0,3.99,0.0121,1.41E+03,0.224,1.79,30.53,6,1.42,1,2.84,30.28,30.53,30.02,2000.05,1991.18,25.768,26.205,59.11,60.12,300.2,1250,7,99.31,-15.8,-0.518,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,12:49:43,caferana1,sh,y2,2,567.5,0,3.68,0.00992,1.35E+03,0.18,1.75,30.35,6,1.42,1,2.84,30.25,30.35,30.03,1999.87,1991.79,25.789,26.141,59.27,60.08,300.2,1001,7,99.3,-15.9,-0.523,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,12:51:03,caferana1,sh,y2,2,648.0,0,3.67,0.00899,1.29E+03,0.16,1.71,30.18,6,1.42,1,2.84,30.20,30.18,30.03,1999.83,1991.86,25.813,26.124,59.48,60.20,300.2,800,7,99.3,-16.1,-0.522,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,12:52:34,caferana1,sh,y2,2,738.5,0,3.35,0.00766,1.25E+03,0.132,1.66,29.97,6,1.42,1,2.84,30.16,29.97,30.03,1999.84,1992.62,25.846,26.104,59.70,60.30,300.2,500,7,99.3,-16.3,-0.525,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,12:53:57,caferana1,sh,y2,2,821.5,0,3.2,0.00737,1.25E+03,0.124,1.62,29.79,6,1.42,1,2.84,30.11,29.79,30.03,2000.03,1993.15,25.858,26.100,59.88,60.44,300.2,300,10,99.3,-16.3,-0.521,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,12:55:20,caferana1,sh,y2,2,904.5,0,3.22,0.00698,1.21E+03,0.116,1.59,29.69,6,1.42,1,2.84,30.08,29.69,30.03,1999.87,1992.97,25.877,26.102,60.04,60.56,300.1,201,8,99.3,-16.6,-0.525,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,12:56:40,caferana1,sh,y2,2,984.5,0,2.88,0.00739,1.33E+03,0.12,1.57,29.59,6,1.42,1,2.84,30.05,29.59,30.03,2000.01,1993.78,25.886,26.120,60.17,60.71,300.2,99,14,99.3,-16.4,-0.514,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,12:58:06,caferana1,sh,y2,2,1070.5,0,2.2,0.00681,1.43E+03,0.11,1.55,29.53,6,1.42,1,2.84,30.03,29.53,30.03,1999.96,1995.12,25.899,26.113,60.27,60.76,300.2,50,15,99.29,-16.4,-0.528,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,12:59:26,caferana1,sh,y2,2,1150.5,0,0.54,0.0075,1.83E+03,0.12,1.54,29.47,6,1.42,1,2.84,30.01,29.47,30.03,1999.82,1998.26,25.910,26.143,60.35,60.89,300.2,9,9,99.29,-16.6,-0.528,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
