Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
30,12:23:27,504,shade,old,6,4271.5,0,11.2,0.0837,1.72E+03,1.8,2.12,30.61,6,1.42,1,2.84,30.28,30.61,30.13,2022.91,2000.73,20.435,23.071,46.86,52.91,400.0,2000,8,99.27,-45,0.103,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
31,12:24:28,504,shade,old,6,4332.5,0,10.5,0.0773,1.71E+03,1.66,2.12,30.51,6,1.42,1,2.84,30.27,30.51,30.13,2021.23,2000.45,20.435,22.867,46.88,52.46,400.0,1500,7,99.27,-45,0.103,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
32,12:26:58,504,shade,old,6,4482.5,0,9.31,0.0684,1.71E+03,1.47,2.11,30.36,6,1.42,1,2.84,30.23,30.36,30.13,2019.07,2000.71,20.457,22.605,47.03,51.97,400.2,1001,8,99.27,-45,0.103,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
33,12:27:59,504,shade,old,6,4543.5,0,8.82,0.0655,1.72E+03,1.4,2.1,30.29,6,1.42,1,2.84,30.22,30.29,30.13,2017.55,2000.12,20.463,22.514,47.09,51.81,400.0,800,9,99.26,-45,0.103,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
34,12:29:00,504,shade,old,6,4604.5,0,7.83,0.0621,1.73E+03,1.32,2.09,30.20,6,1.42,1,2.84,30.19,30.20,30.13,2015.88,2000.17,20.448,22.384,47.11,51.57,400.0,500,8,99.26,-45,0.103,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
35,12:30:01,504,shade,old,6,4665.5,0,6.83,0.0593,1.75E+03,1.26,2.07,30.11,6,1.42,1,2.84,30.17,30.11,30.13,2013.87,1999.86,20.441,22.283,47.17,51.42,400.0,299,8,99.26,-45,0.103,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
36,12:31:02,504,shade,old,6,4726.5,0,6.16,0.0581,1.76E+03,1.23,2.07,30.05,6,1.42,1,2.84,30.15,30.05,30.13,2013.95,2001.03,20.435,22.233,47.19,51.34,400.0,200,7,99.26,-45,0.103,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
37,12:32:10,504,shade,old,6,4794.5,0,4.46,0.0566,1.81E+03,1.19,2.06,29.99,6,1.42,1,2.84,30.13,29.99,30.13,2010.71,2000.44,20.419,22.164,47.21,51.24,399.9,101,16,99.26,-45,0.103,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
38,12:33:46,504,shade,old,6,4891.0,0,2.98,0.0557,1.85E+03,1.17,2.05,29.96,6,1.42,1,2.84,30.12,29.96,30.13,2007.21,1999.23,20.417,22.132,47.24,51.21,400.0,50,7,99.25,-45.5,0.111,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
39,12:35:16,504,shade,old,6,4981.0,0,0.856,0.0549,1.91E+03,1.15,2.05,29.93,6,1.42,1,2.84,30.10,29.93,30.13,2005.43,2000.69,20.415,22.101,47.27,51.18,400.0,9,9,99.25,-45.7,0.109,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
40,12:37:02,504,shade,old,6,5087.0,0,0.417,0.0555,1.92E+03,1.15,2.03,29.88,6,1.42,1,2.84,30.11,29.88,30.13,2003.64,1999.56,20.447,22.137,47.33,51.24,400.0,0,9,99.25,-45.8,0.111,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
41,12:38:32,504,shade,old,6,5176.5,0,0.42,0.0554,1.92E+03,1.15,2.03,29.89,6,1.42,1,2.84,30.11,29.89,30.13,2003.47,1999.39,20.487,22.174,47.41,51.31,400.0,0,10,99.24,-45.8,0.109,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
42,12:40:02,504,shade,old,6,5267.0,0,0.402,0.0559,1.92E+03,1.16,2.03,29.90,6,1.42,1,2.84,30.12,29.90,30.13,2003.37,1999.29,20.525,22.226,47.48,51.42,400.0,0,8,99.24,-45.7,0.108,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
