Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
105,15:08:50,us1,shade,position_5__from_most_apical_,7,13883.0,0,-0.786,0.0384,81.5,0.799,2.01,31.90,6,1.25,1,2.5,29.98,31.90,29.95,49.40,50.52,26.562,27.727,61.64,64.34,400.0,1999,7,98.78,4.27,-0.283,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
106,15:10:30,us1,shade,position_5__from_most_apical_,7,13982.5,0,-0.359,0.0408,111,0.814,1.93,31.62,6,1.25,1,2.5,29.99,31.62,29.95,99.76,100.18,26.605,27.792,61.71,64.47,400.0,2000,5,98.78,4.83,-0.283,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
107,15:12:08,us1,shade,position_5__from_most_apical_,7,14081.0,0,0.212,0.0417,136,0.821,1.9,31.54,6,1.25,1,2.5,29.99,31.54,29.95,149.45,148.95,26.654,27.850,61.81,64.59,400.0,2000,5,98.77,5.08,-0.285,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
108,15:13:57,us1,shade,position_5__from_most_apical_,7,14190.0,0,0.986,0.0414,203,0.84,1.96,31.79,6,1.25,1,2.5,30.00,31.79,29.95,250.95,249.16,26.712,27.937,61.93,64.77,400.0,2000,5,98.77,5.68,-0.297,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
109,15:15:54,us1,shade,position_5__from_most_apical_,7,14306.5,0,1.84,0.043,267,0.875,1.97,31.84,6,1.25,1,2.5,30.00,31.84,29.95,350.29,347.07,26.747,28.023,62.02,64.98,400.0,2000,6,98.77,5.68,-0.287,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
110,15:17:25,us1,shade,position_5__from_most_apical_,7,14398.0,0,2.18,0.0431,302,0.886,1.99,31.94,6,1.25,1,2.5,30.00,31.94,29.95,399.24,395.44,26.774,28.065,62.08,65.07,400.0,1999,5,98.76,5.75,-0.292,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
111,15:19:17,us1,shade,position_5__from_most_apical_,7,14509.5,0,3.26,0.0465,414,0.902,1.88,31.56,6,1.25,1,2.5,29.99,31.56,29.95,548.90,543.27,26.805,28.121,62.16,65.21,400.0,2000,5,98.76,5.37,-0.294,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
112,15:21:17,us1,shade,position_5__from_most_apical_,7,14629.5,0,4.18,0.0451,570,0.906,1.94,31.81,6,1.25,1,2.5,30.00,31.81,29.95,749.63,742.35,26.842,28.163,62.23,65.30,400.0,2000,6,98.75,4.56,-0.282,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
113,15:23:35,us1,shade,position_5__from_most_apical_,7,14767.5,0,5.02,0.0454,783,0.892,1.9,31.67,6,1.25,1,2.5,30.00,31.67,29.95,1000.38,991.53,26.888,28.188,62.31,65.33,400.0,1999,2,98.75,2.43,-0.286,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
114,15:25:40,us1,shade,position_5__from_most_apical_,7,14892.5,0,5.57,0.0444,1E+03,0.857,1.86,31.52,6,1.25,1,2.5,30.00,31.52,29.95,1250.46,1240.52,26.913,28.161,62.37,65.26,400.0,2000,0,98.75,-0.549,-0.291,0.5,-0.207,2.49,1.00,0.00,0.16,111114,OK
115,15:27:59,us1,shade,position_5__from_most_apical_,7,15032.0,0,5.77,0.0393,1.21E+03,0.774,1.9,31.63,6,1.25,1,2.5,30.03,31.63,29.95,1498.88,1488.50,26.952,28.081,62.36,64.97,400.0,2000,0,98.75,-3.73,-0.288,0.5,-0.207,2.49,1.00,0.00,0.16,111114,OK
116,15:30:19,us1,shade,position_5__from_most_apical_,7,15171.5,0,6.28,0.0334,1.38E+03,0.672,1.94,31.72,6,1.25,1,2.5,30.04,31.72,29.95,1748.66,1737.49,26.977,27.956,62.37,64.64,400.0,2000,0,98.75,-7.87,-0.272,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
117,15:32:16,us1,shade,position_5__from_most_apical_,7,15288.5,0,6.49,0.029,1.57E+03,0.587,1.95,31.71,6,1.25,1,2.5,30.06,31.71,29.95,1999.86,1988.37,27.003,27.858,62.38,64.36,400.0,1999,0,98.75,-12.7,-0.265,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
118,15:34:30,us1,shade,position_5__from_most_apical_,7,15422.5,0,6.63,0.0244,1.73E+03,0.522,2.05,32.10,6,1.25,1,2.5,30.06,32.10,29.95,2250.67,2238.97,27.079,27.840,62.55,64.31,400.0,1999,0,98.75,-18,-0.265,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
