Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
31,10:15:31,232,shade,y2_or_y1,3,5610.5,0,0.806,0.00459,1.66E+03,0.0841,1.76,29.95,6,1.42,1,2.84,29.39,29.95,29.55,1999.97,1998.80,24.910,25.008,60.14,60.38,500.4,1999,1,99.34,-18.4,0.208,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
32,10:16:58,232,shade,y2_or_y1,3,5697.5,0,0.989,0.0039,1.54E+03,0.0676,1.67,29.53,6,1.42,1,2.84,29.38,29.53,29.55,2000.06,1998.71,24.891,24.970,60.15,60.34,500.0,1502,1,99.34,-18.5,0.206,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
33,10:18:25,232,shade,y2_or_y1,3,5785.0,0,0.483,0.00352,1.73E+03,0.059,1.61,29.28,6,1.42,1,2.84,29.37,29.28,29.55,2000.12,1999.40,24.877,24.946,60.15,60.31,500.5,1250,1,99.34,-18,0.206,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
34,10:19:52,232,shade,y2_or_y1,3,5872.0,0,0.629,0.00279,1.59E+03,0.0448,1.55,29.00,6,1.42,1,2.84,29.34,29.00,29.55,1999.96,1999.10,24.858,24.911,60.21,60.33,500.4,1001,1,99.34,-18.3,0.196,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
35,10:21:23,232,shade,y2_or_y1,3,5962.5,0,0.792,0.00217,1.37E+03,0.0338,1.5,28.78,6,1.42,1,2.84,29.33,28.78,29.55,1999.93,1998.90,24.846,24.886,60.21,60.30,500.5,801,2,99.34,-18.7,0.197,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
36,10:22:50,232,shade,y2_or_y1,3,6049.5,0,0.534,0.0016,1.43E+03,0.0237,1.42,28.44,6,1.42,1,2.84,29.30,28.44,29.55,1999.95,1999.25,24.836,24.863,60.28,60.35,500.5,500,2,99.33,-18.5,0.201,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
37,10:24:23,232,shade,y2_or_y1,3,6142.5,0,0.671,0.00138,1.18E+03,0.0194,1.36,28.16,6,1.42,1,2.84,29.25,28.16,29.55,1999.93,1999.08,24.834,24.857,60.43,60.49,500.4,300,3,99.32,-19,0.196,0.2,-0.22,2.74,1.00,0.00,0.16,111115,OK
38,10:25:56,232,shade,y2_or_y1,3,6236.0,0,0.772,0.00288,1.53E+03,0.0398,1.33,28.02,6,1.42,1,2.84,29.24,28.02,29.55,1999.55,1998.53,24.806,24.853,60.43,60.54,500.5,199,3,99.32,-19.3,0.199,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
39,10:27:23,232,shade,y2_or_y1,3,6323.0,0,0.226,0.00267,1.82E+03,0.0363,1.31,27.91,6,1.42,1,2.84,29.22,27.91,29.55,1999.53,1999.18,24.784,24.826,60.43,60.53,500.2,100,2,99.32,-19.1,0.203,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
40,10:28:50,232,shade,y2_or_y1,3,6409.5,0,0.401,0.0019,1.62E+03,0.0254,1.29,27.80,6,1.42,1,2.84,29.21,27.80,29.55,1999.37,1998.83,24.759,24.789,60.39,60.46,500.5,49,3,99.32,-19.4,0.191,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
41,10:30:18,232,shade,y2_or_y1,3,6498.0,0,-0.121,0.00194,2.06E+03,0.0258,1.28,27.76,6,1.42,1,2.84,29.20,27.76,29.55,1999.53,1999.61,24.735,24.765,60.40,60.47,500.4,9,3,99.32,-19.5,0.195,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
42,10:31:45,232,shade,y2_or_y1,3,6584.5,0,-0.666,0.00287,2.33E+03,0.0383,1.29,27.77,6,1.42,1,2.84,29.21,27.77,29.55,1999.74,2000.44,24.715,24.760,60.30,60.41,500.4,-0,4,99.32,-19.4,0.195,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
