Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
1,12:44:16,11,shade,old,3,217.5,0,7.57,0.0255,956,0.679,2.59,30.33,6,1.42,1,2.84,33.33,30.33,30.15,1500.99,1488.11,16.573,17.574,32.02,33.95,400.0,1999,7,99.43,-39.3,0.00357,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
2,12:45:57,11,shade,old,3,318.5,0,7.41,0.0238,936,0.618,2.53,30.02,6,1.42,1,2.84,33.27,30.02,30.14,1501.30,1488.81,16.572,17.483,32.13,33.90,400.0,1500,7,99.43,-39.3,0.00357,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
3,12:47:38,11,shade,old,3,419.5,0,7.01,0.0222,931,0.559,2.45,29.68,6,1.42,1,2.84,33.21,29.68,30.14,1501.16,1489.40,16.585,17.408,32.26,33.86,400.0,1001,4,99.42,-39.3,0.00357,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,12:49:20,11,shade,old,3,521.5,0,7.34,0.0206,866,0.517,2.44,29.62,6,1.42,1,2.84,33.02,29.62,30.14,1499.92,1487.76,16.597,17.358,32.62,34.12,399.9,799,4,99.42,-39.3,0.00357,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,12:51:01,11,shade,old,3,622.5,0,6.66,0.0206,922,0.499,2.35,29.23,6,1.42,1,2.84,33.03,29.23,30.12,1499.80,1488.69,16.591,17.327,32.59,34.03,400.0,501,8,99.42,-39.3,0.00357,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,12:52:43,11,shade,old,3,724.5,0,6.07,0.0213,984,0.493,2.25,28.79,6,1.42,1,2.84,33.11,28.79,30.10,1499.19,1488.98,16.597,17.324,32.46,33.88,400.0,301,6,99.41,-39.3,0.00357,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,12:54:24,11,shade,old,3,826.0,0,4.45,0.0229,1.13E+03,0.517,2.2,28.57,6,1.42,1,2.84,33.60,28.57,30.15,1499.04,1491.21,16.603,17.366,31.60,33.05,400.0,201,3,99.41,-39.3,0.00357,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,12:56:05,11,shade,old,3,927.0,0,3.27,0.0234,1.22E+03,0.522,2.17,28.48,6,1.42,1,2.84,33.55,28.48,30.15,1500.37,1494.29,16.616,17.385,31.71,33.18,399.9,101,7,99.41,-39.3,0.00357,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,13:02:11,11,shade,old,3,1292.5,0,0.554,0.0256,1.41E+03,0.547,2.08,28.10,6,1.42,1,2.84,34.36,28.10,29.98,1501.15,1499.09,16.652,17.457,30.36,31.83,400.0,9,7,99.39,-44.8,-0.0432,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,13:04:41,11,shade,old,3,1443.0,0,-0.182,0.0248,1.46E+03,0.55,2.16,28.49,6,1.42,1,2.84,34.31,28.49,30.12,1500.36,1499.40,16.697,17.508,30.52,32.01,399.9,0,6,99.39,-43.6,-0.0337,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
