Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
18,12:04:08,us1,shade,position_1__most_apical_,2,2801.0,0,-0.796,0.0935,62.7,1.8,1.91,30.60,6,1.25,1,2.5,29.71,30.60,29.95,49.35,50.41,22.596,25.229,53.39,59.62,400.0,1999,6,99.04,4.07,-0.247,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
19,12:05:47,us1,shade,position_1__most_apical_,2,2900.0,0,-0.0845,0.0975,97.2,1.85,1.88,30.52,6,1.25,1,2.5,29.71,30.52,29.95,98.98,98.83,22.622,25.322,53.47,59.85,400.0,2000,5,99.04,4.65,-0.249,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
20,12:07:29,us1,shade,position_1__most_apical_,2,3002.0,0,0.64,0.1,133,1.9,1.88,30.54,6,1.25,1,2.5,29.70,30.54,29.95,149.39,148.01,22.639,25.410,53.53,60.08,400.0,2000,10,99.04,5.03,-0.264,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
21,12:09:21,us1,shade,position_1__most_apical_,2,3113.5,0,2.03,0.102,207,1.95,1.9,30.68,6,1.25,1,2.5,29.71,30.68,29.95,251.04,247.27,22.685,25.530,53.62,60.35,400.0,1999,8,99.03,5.56,-0.256,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
22,12:11:17,us1,shade,position_1__most_apical_,2,3230.0,0,3.3,0.108,284,2.01,1.86,30.59,6,1.25,1,2.5,29.72,30.59,29.95,350.42,344.43,22.755,25.696,53.74,60.68,400.0,1999,13,99.03,5.8,-0.259,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
23,12:13:28,us1,shade,position_1__most_apical_,2,3361.0,0,5.51,0.115,447,2.04,1.77,30.25,6,1.25,1,2.5,29.73,30.25,29.95,550.63,540.71,22.815,25.795,53.85,60.88,400.0,2000,12,99.02,5.48,-0.266,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
24,12:15:24,us1,shade,position_1__most_apical_,2,3477.0,0,6.86,0.106,608,2.02,1.89,30.75,6,1.25,1,2.5,29.75,30.75,29.95,748.77,736.25,22.857,25.811,53.91,60.87,400.0,2001,14,99.02,4.65,-0.25,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
25,12:17:23,us1,shade,position_1__most_apical_,2,3596.0,0,7.75,0.108,791,1.95,1.79,30.33,6,1.25,1,2.5,29.76,30.33,29.95,950.04,935.68,22.906,25.751,53.97,60.68,400.1,2000,15,99.01,3.05,-0.252,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
26,12:19:32,us1,shade,position_1__most_apical_,2,3725.0,0,8.14,0.0949,962,1.79,1.87,30.59,6,1.25,1,2.5,29.77,30.59,29.95,1151.31,1136.04,22.979,25.598,54.10,60.26,400.0,1999,11,99.01,1.15,-0.244,0.5,-0.207,2.49,1.00,0.00,0.16,111114,OK
27,12:21:41,us1,shade,position_1__most_apical_,2,3854.5,0,8.59,0.0811,1.12E+03,1.58,1.92,30.68,6,1.25,1,2.5,29.78,30.68,29.95,1349.92,1333.89,23.054,25.360,54.24,59.66,400.0,1999,9,99,-1.21,-0.236,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
28,12:23:44,us1,shade,position_1__most_apical_,2,3977.0,0,8.99,0.0701,1.28E+03,1.4,1.96,30.76,6,1.25,1,2.5,29.80,30.76,29.95,1549.90,1533.20,23.127,25.171,54.37,59.17,400.0,2000,9,99,-4.25,-0.229,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
