Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
1,11:21:23,us1,shade,position_1__most_apical_,1,190.0,0,9.49,0.0304,1.42E+03,0.639,2.04,29.74,6,1.25,1,2.5,29.48,29.74,29.95,1999.19,1983.05,20.810,21.747,49.88,52.13,400.0,1000,10,99.1,-12.1,-0.155,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
2,11:24:03,us1,shade,position_1__most_apical_,1,390.5,0,10,0.0322,1.42E+03,0.701,2.11,30.13,6,1.25,1,2.5,29.50,30.13,29.95,1998.97,1981.82,20.979,22.006,50.21,52.67,400.1,1499,6,99.1,-12.1,-0.16,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
3,11:26:33,us1,shade,position_1__most_apical_,1,545.0,0,10.9,0.0348,1.41E+03,0.787,2.2,30.57,6,1.25,1,2.5,29.54,30.57,29.95,1999.25,1980.63,21.079,22.234,50.33,53.09,400.0,1999,11,99.1,-12.1,-0.16,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
4,11:28:11,us1,shade,position_1__most_apical_,1,643.0,0,10.2,0.0337,1.43E+03,0.737,2.13,30.27,6,1.25,1,2.5,29.55,30.27,29.95,1999.02,1981.53,21.147,22.228,50.47,53.05,400.0,1500,7,99.09,-12.1,-0.16,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
5,11:30:01,us1,shade,position_1__most_apical_,1,752.5,0,9.81,0.033,1.44E+03,0.707,2.08,30.11,6,1.25,1,2.5,29.56,30.11,29.95,1998.93,1982.12,21.248,22.285,50.70,53.17,400.0,1250,7,99.09,-12.1,-0.16,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
6,11:32:13,us1,shade,position_1__most_apical_,1,884.5,0,9.01,0.0314,1.46E+03,0.646,2,29.77,6,1.25,1,2.5,29.53,29.77,29.95,2000.01,1984.58,21.351,22.298,51.01,53.28,400.0,751,7,99.09,-12.1,-0.16,0.5,-0.207,2.49,1.00,0.00,0.16,111114,OK
7,11:34:42,us1,shade,position_1__most_apical_,1,1032.0,0,8.41,0.0307,1.49E+03,0.609,1.92,29.49,6,1.25,1,2.5,29.51,29.49,29.95,1999.45,1985.03,21.466,22.358,51.35,53.49,400.0,500,10,99.08,-12.4,-0.163,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
8,11:36:07,us1,shade,position_1__most_apical_,1,1118.0,0,7.91,0.0306,1.51E+03,0.597,1.9,29.40,6,1.25,1,2.5,29.50,29.40,29.95,1998.75,1985.11,21.528,22.403,51.53,53.63,400.0,401,14,99.08,-12.4,-0.163,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
9,11:38:29,us1,shade,position_1__most_apical_,1,1260.5,0,7.69,0.0301,1.52E+03,0.577,1.86,29.30,6,1.25,1,2.5,29.48,29.30,29.95,2000.13,1986.88,21.652,22.499,51.87,53.90,400.0,300,10,99.08,-12.4,-0.163,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
10,11:40:47,us1,shade,position_1__most_apical_,1,1398.0,0,6.64,0.0294,1.57E+03,0.554,1.83,29.20,6,1.25,1,2.5,29.47,29.20,29.95,1999.36,1987.76,21.763,22.575,52.19,54.14,400.0,201,12,99.08,-12.4,-0.163,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
11,11:43:41,us1,shade,position_1__most_apical_,1,1572.0,0,6.36,0.0287,1.58E+03,0.53,1.79,29.07,6,1.25,1,2.5,29.44,29.07,29.95,1998.82,1987.70,21.878,22.655,52.54,54.40,400.0,149,13,99.08,-12.4,-0.163,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
12,11:45:17,us1,shade,position_1__most_apical_,1,1667.0,0,5.27,0.0281,1.63E+03,0.519,1.79,29.06,6,1.25,1,2.5,29.44,29.06,29.95,1998.72,1989.28,21.936,22.696,52.68,54.50,400.0,100,7,99.08,-12.4,-0.163,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
13,11:46:53,us1,shade,position_1__most_apical_,1,1764.0,0,3.21,0.0275,1.75E+03,0.503,1.77,29.02,6,1.25,1,2.5,29.45,29.02,29.95,1998.67,1992.34,21.999,22.736,52.81,54.58,400.0,49,7,99.07,-12.4,-0.163,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
14,11:49:56,us1,shade,position_1__most_apical_,1,1947.5,0,0.821,0.0266,1.89E+03,0.486,1.77,29.01,6,1.25,1,2.5,29.46,29.01,29.95,2000.28,1997.60,22.075,22.787,52.95,54.66,400.0,8,8,99.07,-12.4,-0.163,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
