Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
36,10:43:00,232,sunish,old,3,5040.0,0,-0.246,0.0259,111,0.538,2.01,29.65,6,1.42,1,2.84,29.36,29.65,29.55,98.56,98.85,20.968,21.757,50.70,52.61,400.0,2000,3,99.3,6.62,0.205,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
37,10:44:29,232,sunish,old,3,5129.0,0,-0.524,0.0287,78.4,0.593,2,29.62,6,1.42,1,2.84,29.36,29.62,29.55,50.34,51.08,20.943,21.813,50.64,52.74,400.1,2000,3,99.29,6.64,0.191,1.0,-0.22,2.74,1.00,0.00,0.16,111135,OK
38,10:46:01,232,sunish,old,3,5221.5,0,-0.0297,0.0331,97.2,0.676,1.99,29.59,6,1.42,1,2.84,29.38,29.59,29.55,99.06,99.00,20.928,21.920,50.56,52.95,400.0,2001,3,99.29,6.6,0.199,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
39,10:47:32,232,sunish,old,3,5312.0,0,0.57,0.0377,121,0.762,1.97,29.56,6,1.42,1,2.84,29.36,29.56,29.55,151.24,150.21,20.907,22.025,50.56,53.26,400.2,2000,3,99.3,6.6,0.191,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
40,10:49:29,232,sunish,old,3,5429.0,0,1.82,0.0431,174,0.865,1.96,29.56,6,1.42,1,2.84,29.35,29.56,29.55,251.89,248.84,20.881,22.149,50.51,53.58,400.0,2001,4,99.3,6.25,0.192,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
41,10:50:58,232,sunish,old,3,5518.0,0,3.1,0.0472,230,0.935,1.94,29.52,6,1.42,1,2.84,29.36,29.52,29.55,350.79,345.66,20.866,22.238,50.47,53.79,400.0,2001,5,99.3,5.82,0.191,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
42,10:52:48,232,sunish,old,3,5628.5,0,5.92,0.0519,342,1.02,1.92,29.49,6,1.42,1,2.84,29.35,29.49,29.55,551.18,541.47,20.851,22.342,50.46,54.07,400.0,2001,4,99.3,4.35,0.205,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
43,10:54:41,232,sunish,old,3,5741.0,0,8.39,0.0524,458,1.03,1.92,29.50,6,1.42,1,2.84,29.37,29.50,29.55,750.69,736.97,20.843,22.350,50.36,54.00,400.0,2001,5,99.3,2.21,0.196,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
44,10:56:27,232,sunish,old,3,5847.0,0,10.1,0.0506,586,1,1.93,29.53,6,1.42,1,2.84,29.36,29.53,29.55,950.02,933.52,20.831,22.297,50.37,53.91,400.0,2000,5,99.3,0.0423,0.196,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
45,10:58:19,232,sunish,old,3,5959.0,0,11.3,0.0461,705,0.922,1.95,29.56,6,1.42,1,2.84,29.35,29.56,29.55,1150.20,1131.75,20.806,22.158,50.33,53.60,400.0,2001,5,99.29,-2.56,0.197,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
46,11:00:23,232,sunish,old,3,6083.0,0,11.8,0.0408,828,0.826,1.97,29.57,6,1.42,1,2.84,29.35,29.57,29.55,1349.97,1330.66,20.782,21.994,50.28,53.21,400.0,2000,4,99.28,-5.15,0.204,0.2,-0.22,2.74,1.00,0.00,0.16,111115,OK
47,11:02:22,232,sunish,old,3,6202.5,0,12.6,0.0365,930,0.747,1.99,29.59,6,1.42,1,2.84,29.35,29.59,29.55,1550.53,1529.89,20.757,21.852,50.21,52.86,400.0,2000,4,99.27,-8.57,0.21,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
48,11:04:12,232,sunish,old,3,6312.0,0,12.8,0.0322,1.04E+03,0.666,2.01,29.60,6,1.42,1,2.84,29.36,29.60,29.55,1749.47,1728.52,20.728,21.705,50.12,52.48,399.8,2000,3,99.27,-11.6,0.202,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
49,11:05:51,232,sunish,old,3,6411.0,0,13.3,0.0297,1.2E+03,0.618,2.02,29.61,6,1.42,1,2.84,29.36,29.61,29.55,2000.11,1978.30,20.715,21.621,50.07,52.26,400.0,1999,1,99.27,-15.9,0.221,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
50,11:07:51,232,sunish,old,3,6531.0,0,13.8,0.0255,1.29E+03,0.536,2.04,29.66,6,1.42,1,2.84,29.36,29.66,29.55,2250.17,2227.62,20.726,21.512,50.10,52.00,400.0,1999,0,99.27,-20.3,0.209,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
