Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
14,14:30:02,118,dappled,y/m,5,3615.5,0,9.93,0.0139,1.07E+03,0.376,2.6,31.23,6,1.42,1,2.84,30.22,31.23,30.13,2301.19,2288.23,19.422,19.864,44.63,45.65,499.4,1500,9,99.14,-60,0.0846,0.7,-0.22,2.74,1.00,0.00,0.16,111115,
15,14:32:32,118,dappled,y/m,5,3773.0,0,10.6,0.0143,1.02E+03,0.404,2.72,31.72,6,1.42,1,2.84,30.25,31.72,30.13,2299.63,2285.80,19.481,19.956,44.67,45.76,499.4,1999,8,99.13,-60,0.0846,1.0,-0.22,2.74,1.00,0.00,0.16,111115,
16,14:34:33,118,dappled,y/m,5,3894.0,0,11,0.0142,974,0.387,2.63,31.37,6,1.42,1,2.84,30.26,31.37,30.13,2299.89,2285.67,19.545,20.000,44.80,45.84,499.5,1500,8,99.13,-60,0.0846,1.0,-0.22,2.74,1.00,0.00,0.16,111115,
17,14:36:34,118,dappled,y/m,5,4015.0,0,11.2,0.0143,965,0.373,2.51,30.95,6,1.42,1,2.84,30.25,30.95,30.13,2299.82,2285.38,19.626,20.065,45.00,46.01,499.5,999,8,99.12,-60,0.0846,1.0,-0.22,2.74,1.00,0.00,0.16,111115,
18,14:38:40,118,dappled,y/m,5,4141.0,0,11.6,0.0145,942,0.369,2.45,30.75,6,1.42,1,2.84,30.24,30.75,30.13,2299.50,2284.60,19.736,20.171,45.28,46.28,499.5,799,7,99.11,-60,0.0846,1.0,-0.22,2.74,1.00,0.00,0.16,111115,
19,14:40:41,118,dappled,y/m,5,4262.5,0,10.7,0.0149,1.07E+03,0.366,2.37,30.47,6,1.42,1,2.84,30.22,30.47,30.13,2299.17,2285.32,19.823,20.254,45.53,46.52,499.5,500,3,99.11,-60,0.0846,1.0,-0.22,2.74,1.00,0.00,0.16,111115,
20,14:42:42,118,dappled,y/m,5,4383.5,0,8.93,0.0153,1.28E+03,0.366,2.3,30.24,6,1.42,1,2.84,30.20,30.24,30.13,2298.85,2287.13,19.904,20.335,45.78,46.77,499.5,301,3,99.11,-60,0.0846,1.0,-0.22,2.74,1.00,0.00,0.16,111115,
21,14:44:43,118,dappled,y/m,5,4504.5,0,7.23,0.0157,1.48E+03,0.369,2.26,30.09,6,1.42,1,2.84,30.17,30.09,30.13,2299.03,2289.33,19.975,20.409,46.01,47.01,499.5,201,3,99.1,-60,0.0846,1.0,-0.22,2.74,1.00,0.00,0.16,111115,
22,14:46:44,118,dappled,y/m,5,4625.5,0,3.99,0.0159,1.81E+03,0.366,2.22,29.95,6,1.42,1,2.84,30.15,29.95,30.13,2298.97,2293.17,20.044,20.474,46.23,47.22,499.4,101,4,99.11,-60,0.0846,1.0,-0.22,2.74,1.00,0.00,0.16,111115,
23,14:49:12,118,dappled,y/m,5,4773.0,0,2.41,0.0155,1.97E+03,0.352,2.19,29.87,6,1.42,1,2.84,30.13,29.87,30.13,2298.99,2295.12,20.149,20.563,46.52,47.47,499.5,50,7,99.11,-60.7,0.0854,0.7,-0.22,2.74,1.00,0.00,0.16,111115,
24,14:51:40,118,dappled,y/m,5,4920.5,0,0.438,0.0149,2.17E+03,0.335,2.16,29.80,6,1.42,1,2.84,30.14,29.80,30.13,2298.84,2297.39,20.270,20.665,46.77,47.68,499.4,0,7,99.1,-61,0.0821,1.0,-0.22,2.74,1.00,0.00,0.16,111115,
25,14:54:07,118,dappled,y/m,5,5067.5,0,0.255,0.0138,2.19E+03,0.31,2.17,29.85,6,1.42,1,2.84,30.16,29.85,30.13,2300.24,2299.08,20.416,20.780,47.06,47.90,499.5,0,9,99.1,-61.1,0.0855,0.3,-0.22,2.74,1.00,0.00,0.16,111115,
26,14:56:34,118,dappled,y/m,5,5214.5,0,-0.198,0.0121,2.24E+03,0.271,2.17,29.91,6,1.42,1,2.84,30.18,29.91,30.13,2300.25,2299.73,20.590,20.909,47.39,48.13,499.6,0,7,99.09,-60.7,0.0858,0.7,-0.22,2.74,1.00,0.00,0.16,111115,
