Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
2,09:46:10,9,shade,mature,1,397.0,0,7.13,0.0306,1.51E+03,1.09,3.46,32.42,6,1.42,1,2.84,30.29,32.42,29.95,1998.67,1984.72,12.798,14.414,29.27,32.97,400.1,1999,7,99.06,-6.68,-0.0408,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
3,09:47:41,9,shade,mature,1,488.0,0,7.07,0.0293,1.5E+03,1.03,3.4,32.18,6,1.42,1,2.84,30.29,32.18,29.94,2000.20,1986.54,12.866,14.383,29.41,32.88,400.0,1750,7,99.05,-6.68,-0.0408,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,09:49:32,9,shade,mature,1,599.0,0,6.77,0.0291,1.52E+03,0.995,3.31,31.86,6,1.42,1,2.84,30.29,31.86,29.94,2000.25,1987.13,12.936,14.408,29.58,32.94,400.1,1501,5,99.06,-6.68,-0.0408,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,09:51:18,9,shade,mature,1,705.0,0,6.99,0.0281,1.49E+03,0.931,3.22,31.49,6,1.42,1,2.84,30.26,31.49,29.94,2000.30,1987.04,12.996,14.373,29.77,32.92,400.1,1251,5,99.05,-6.68,-0.0408,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,09:52:51,9,shade,mature,1,798.0,0,6.17,0.027,1.53E+03,0.879,3.15,31.23,6,1.42,1,2.84,30.24,31.23,29.94,2000.02,1988.14,13.049,14.348,29.93,32.91,400.1,999,7,99.05,-6.68,-0.0408,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,09:54:24,9,shade,mature,1,891.0,0,5.93,0.0265,1.54E+03,0.833,3.05,30.83,6,1.42,1,2.84,30.19,30.83,29.94,1999.89,1988.50,13.108,14.339,30.14,32.97,400.1,801,7,99.05,-6.68,-0.0408,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,09:56:03,9,shade,mature,1,990.0,0,5.65,0.0257,1.55E+03,0.776,2.93,30.37,6,1.42,1,2.84,30.15,30.37,29.94,1999.92,1989.12,13.170,14.318,30.35,32.99,400.0,499,5,99.05,-6.68,-0.0408,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,09:58:02,9,shade,mature,1,1108.5,0,5.2,0.0248,1.57E+03,0.73,2.86,30.08,6,1.42,1,2.84,30.13,30.08,29.95,1999.73,1989.75,13.246,14.326,30.57,33.06,400.1,301,5,99.05,-7.56,-0.0402,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,10:00:15,9,shade,mature,1,1241.5,0,4.88,0.0241,1.58E+03,0.698,2.81,29.89,6,1.42,1,2.84,30.11,29.89,29.94,1999.72,1990.31,13.321,14.353,30.78,33.16,400.0,201,7,99.05,-7.68,-0.0351,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,10:02:14,9,shade,mature,1,1360.5,0,4.16,0.0232,1.62E+03,0.664,2.77,29.73,6,1.42,1,2.84,30.09,29.73,29.94,1999.83,1991.60,13.385,14.367,30.95,33.22,400.1,100,6,99.04,-8.01,-0.0407,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,10:04:13,9,shade,mature,1,1479.5,0,2.81,0.0227,1.71E+03,0.64,2.74,29.60,6,1.42,1,2.84,30.06,29.60,29.94,1999.69,1993.56,13.444,14.390,31.14,33.33,400.1,50,5,99.04,-8.12,-0.0381,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,10:06:13,9,shade,mature,1,1599.5,0,0.527,0.0222,1.87E+03,0.62,2.71,29.50,6,1.42,1,2.84,30.05,29.50,29.94,1999.59,1996.94,13.505,14.421,31.30,33.43,400.1,10,6,99.04,-7.54,-0.0366,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
