Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
93,14:47:09,us1,shade,position_3__from_most_apical_,6,12581.5,0,10.3,0.0388,1.5E+03,0.689,1.72,30.47,6,1.25,1,2.5,29.97,30.47,29.95,1999.57,1982.03,25.938,26.943,60.27,62.60,400.0,2001,4,98.8,-12.7,-0.256,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
94,14:47:45,us1,shade,position_3__from_most_apical_,6,12617.5,0,9.84,0.0351,1.48E+03,0.594,1.63,30.10,6,1.25,1,2.5,29.96,30.10,29.95,1999.67,1983.15,25.953,26.819,60.32,62.34,400.0,1501,4,98.8,-12.7,-0.256,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
95,14:48:18,us1,shade,position_3__from_most_apical_,6,12650.5,0,9,0.0302,1.46E+03,0.507,1.62,29.99,6,1.25,1,2.5,29.94,29.99,29.95,1999.55,1984.54,25.972,26.712,60.43,62.15,400.0,1000,5,98.8,-12.7,-0.256,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
96,14:48:56,us1,shade,position_3__from_most_apical_,6,12689.0,0,8.53,0.0273,1.43E+03,0.451,1.59,29.86,6,1.25,1,2.5,29.92,29.86,29.95,1999.43,1985.29,25.991,26.649,60.53,62.07,400.0,750,5,98.8,-12.7,-0.256,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
97,14:49:28,us1,shade,position_3__from_most_apical_,6,12721.0,0,7.71,0.0253,1.45E+03,0.409,1.56,29.69,6,1.25,1,2.5,29.91,29.69,29.95,1999.31,1986.52,26.008,26.605,60.63,62.02,400.0,500,5,98.8,-12.7,-0.256,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
98,14:49:59,us1,shade,position_3__from_most_apical_,6,12752.0,0,6.91,0.0229,1.46E+03,0.366,1.54,29.61,6,1.25,1,2.5,29.89,29.61,29.95,1999.28,1987.82,26.022,26.557,60.72,61.97,400.0,301,6,98.8,-12.7,-0.256,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
99,14:50:30,us1,shade,position_3__from_most_apical_,6,12783.0,0,6.16,0.0214,1.48E+03,0.34,1.53,29.56,6,1.25,1,2.5,29.88,29.56,29.95,1999.20,1988.95,26.040,26.536,60.81,61.97,400.0,201,6,98.79,-12.7,-0.256,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
100,14:51:30,us1,shade,position_3__from_most_apical_,6,12842.5,0,4.2,0.0193,1.6E+03,0.302,1.51,29.44,6,1.25,1,2.5,29.85,29.44,29.95,1999.12,1991.92,26.067,26.508,60.98,62.01,400.0,50,5,98.8,-13.7,-0.246,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
101,14:52:38,us1,shade,position_3__from_most_apical_,6,12910.5,0,1.53,0.0174,1.81E+03,0.269,1.49,29.35,6,1.25,1,2.5,29.82,29.35,29.95,1998.95,1995.84,26.093,26.486,61.13,62.05,400.0,9,6,98.79,-13.5,-0.254,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
102,14:53:48,us1,shade,position_3__from_most_apical_,6,12981.0,0,0.568,0.016,1.89E+03,0.246,1.48,29.30,6,1.25,1,2.5,29.83,29.30,29.95,1999.00,1997.41,26.117,26.476,61.15,61.99,400.0,-3,8,98.79,-13.8,-0.251,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
