Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
15,15:45:47,9,shade,old,_epi,10,2318.5,0,4.36,0.0274,1.65E+03,0.75,2.63,32.08,6,1.42,1,2.84,30.24,32.08,29.94,2000.91,1992.14,20.782,21.882,47.51,50.02,400.1,1999,45,98.76,-8.81,-0.177,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
16,15:47:56,9,shade,old,_epi,10,2447.5,0,3.83,0.0257,1.67E+03,0.69,2.58,31.83,6,1.42,1,2.84,30.24,31.83,29.94,2000.77,1992.97,20.754,21.767,47.46,49.78,400.1,1751,31,98.76,-9,-0.177,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
17,15:50:05,9,shade,old,_epi,10,2576.5,0,3.26,0.0244,1.7E+03,0.637,2.51,31.54,6,1.42,1,2.84,30.22,31.54,29.94,2000.89,1994.09,20.745,21.680,47.48,49.62,400.1,1501,35,98.75,-9.15,-0.177,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
18,15:52:15,9,shade,old,_epi,10,2706.5,0,2.75,0.0235,1.73E+03,0.594,2.43,31.20,6,1.42,1,2.84,30.19,31.20,29.95,2000.83,1994.93,20.743,21.614,47.55,49.55,400.0,1250,35,98.75,-9.2,-0.175,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
19,15:54:24,9,shade,old,_epi,10,2836.0,0,2.77,0.0227,1.73E+03,0.553,2.35,30.85,6,1.42,1,2.84,30.16,30.85,29.94,2000.87,1995.07,20.737,21.549,47.64,49.50,400.0,1001,27,98.75,-9.5,-0.177,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
20,15:56:33,9,shade,old,_epi,10,2965.0,0,2.57,0.022,1.74E+03,0.518,2.27,30.51,6,1.42,1,2.84,30.11,30.51,29.94,2000.89,1995.48,20.736,21.496,47.77,49.52,400.1,801,32,98.74,-9.64,-0.175,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
21,15:58:41,9,shade,old,_epi,10,3093.0,0,2.47,0.0215,1.74E+03,0.486,2.17,30.12,6,1.42,1,2.84,30.08,30.12,29.95,2001.09,1995.93,20.735,21.448,47.85,49.50,400.1,500,29,98.74,-9.88,-0.171,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
22,16:00:51,9,shade,old,_epi,10,3223.0,0,2.07,0.021,1.77E+03,0.459,2.1,29.81,6,1.42,1,2.84,30.03,29.81,29.94,2000.90,1996.42,20.732,21.405,47.96,49.52,400.0,300,27,98.74,-10,-0.173,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
23,16:03:03,9,shade,old,_epi,10,3355.0,0,1.96,0.0209,1.78E+03,0.446,2.06,29.63,6,1.42,1,2.84,30.00,29.63,29.94,2000.93,1996.66,20.749,21.404,48.07,49.59,400.0,201,29,98.74,-9.99,-0.174,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
24,16:05:11,9,shade,old,_epi,10,3483.0,0,2.01,0.0205,1.78E+03,0.43,2.01,29.44,6,1.42,1,2.84,29.98,29.44,29.94,2001.09,1996.79,20.747,21.378,48.14,49.60,400.0,101,33,98.73,-10.3,-0.176,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
25,16:07:19,9,shade,old,_epi,10,3611.0,0,1.6,0.0205,1.81E+03,0.424,1.99,29.36,6,1.42,1,2.84,29.96,29.36,29.95,2001.01,1997.35,20.767,21.389,48.22,49.67,400.1,50,40,98.73,-10.2,-0.172,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
26,16:09:26,9,shade,old,_epi,10,3737.5,0,1.06,0.0201,1.85E+03,0.414,1.98,29.31,6,1.42,1,2.84,29.96,29.31,29.94,2001.25,1998.42,20.802,21.410,48.31,49.72,400.0,10,26,98.72,-10.2,-0.179,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
