Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
2,12:25:20,11,sun(edge_of_cay),old,3,969.5,0,5.72,0.0111,599,0.401,3.52,31.17,6,1.42,1,2.84,29.60,31.17,30.13,1500.01,1490.53,9.840,10.434,23.52,24.94,399.8,2001,3,99.49,-31.6,0.166,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
3,12:27:21,11,sun(edge_of_cay),old,3,1090.5,0,5.84,0.0108,565,0.38,3.42,30.87,6,1.42,1,2.84,29.59,30.87,30.13,1500.09,1490.48,10.105,10.669,24.16,25.51,399.9,1501,5,99.49,-31.6,0.166,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,12:29:22,11,sun(edge_of_cay),old,3,1211.5,0,5.94,0.0106,539,0.364,3.32,30.57,6,1.42,1,2.84,29.54,30.57,30.13,1499.78,1490.06,10.344,10.884,24.80,26.09,400.1,1001,4,99.48,-31.6,0.166,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,12:31:23,11,sun(edge_of_cay),old,3,1332.5,0,5.97,0.0108,545,0.361,3.26,30.40,6,1.42,1,2.84,29.53,30.40,30.13,1499.66,1489.90,10.564,11.099,25.34,26.62,400.1,799,4,99.48,-31.6,0.166,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,12:34:28,11,sun(edge_of_cay),old,3,1517.5,0,6.1,0.0112,561,0.364,3.16,30.15,6,1.42,1,2.84,29.51,30.15,30.13,1500.88,1490.91,10.862,11.402,26.09,27.39,400.1,501,6,99.48,-31.6,0.166,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,12:36:29,11,sun(edge_of_cay),old,3,1638.5,0,5.96,0.0115,603,0.367,3.11,30.00,6,1.42,1,2.84,29.43,30.00,30.13,1500.37,1490.60,11.051,11.595,26.67,27.98,400.0,301,5,99.48,-31.6,0.166,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,12:38:30,11,sun(edge_of_cay),old,3,1760.0,0,5.74,0.0118,658,0.372,3.06,29.87,6,1.42,1,2.84,29.42,29.87,30.13,1500.43,1490.99,11.237,11.789,27.12,28.45,400.0,201,4,99.47,-31.6,0.166,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,12:40:31,11,sun(edge_of_cay),old,3,1881.0,0,4.28,0.0122,873,0.38,3.01,29.77,6,1.42,1,2.84,29.38,29.77,30.13,1500.38,1493.11,11.411,11.974,27.61,28.97,400.0,101,6,99.47,-31.6,0.166,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,12:42:58,11,sun(edge_of_cay),old,3,2026.5,0,2.88,0.0123,1.06E+03,0.378,2.98,29.72,6,1.42,1,2.84,29.38,29.72,30.13,1500.44,1495.27,11.614,12.174,28.10,29.45,400.0,50,3,99.47,-32.4,0.149,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,12:45:26,11,sun(edge_of_cay),old,3,2175.0,0,0.743,0.0126,1.33E+03,0.381,2.95,29.69,6,1.42,1,2.84,29.29,29.69,30.13,1500.31,1498.34,11.829,12.394,28.77,30.15,400.1,9,23,99.47,-32.6,0.151,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,12:47:54,11,sun(edge_of_cay),old,3,2323.0,0,-0.209,0.0129,1.45E+03,0.389,2.92,29.66,6,1.42,1,2.84,29.35,29.66,30.13,1500.59,1500.03,12.048,12.624,29.21,30.60,400.0,-0,10,99.46,-32.3,0.151,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
