Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
26,15:40:48,9,shade,old,11,5815.5,0,-0.503,0.0747,979,1.5,1.98,29.81,6,1.42,1,2.84,30.19,29.81,30.13,1002.07,1000.87,20.777,22.537,47.82,51.87,500.4,0,50,99.15,-22,0.0364,1,-0.22,2.74,1,0,0.16,111115,OK
27,15:44:30,9,shade,old,11,6035.5,0,10.2,0.0808,761,1.84,2.24,31.13,6,1.42,1,2.84,30.3,31.13,30.13,1014.37,999.97,21.059,23.214,48.18,53.11,500.4,1999,10,99.14,-22,0.0364,1,-0.22,2.74,1,0,0.16,111115,OK
28,15:46:32,9,shade,old,11,6160,0,9.52,0.0654,731,1.48,2.22,30.95,6,1.42,1,2.84,30.3,30.95,30.13,1014.16,1000.96,21.209,22.947,48.51,52.49,500.4,1501,9,99.14,-22,0.0364,1,-0.22,2.74,1,0,0.16,111115,OK
29,15:48:33,9,shade,old,11,6281,0,8.21,0.0538,722,1.19,2.17,30.64,6,1.42,1,2.84,30.27,30.64,30.13,1012.68,1001.41,21.317,22.717,48.83,52.04,500.4,1001,3,99.14,-22,0.0364,1,-0.22,2.74,1,0,0.16,111115,OK
30,15:50:34,9,shade,old,11,6402,0,6.48,0.0451,736,0.971,2.1,30.29,6,1.42,1,2.84,30.23,30.29,30.13,1008.59,999.65,21.4,22.538,49.15,51.76,500.4,501,2,99.13,-22,0.0364,1,-0.22,2.74,1,0,0.16,111115,OK
31,15:52:35,9,shade,old,11,6523,0,4.9,0.039,767,0.82,2.04,30.03,6,1.42,1,2.84,30.18,30.03,30.13,1007.19,1000.32,21.477,22.439,49.45,51.66,500.4,200,3,99.13,-22,0.0364,1,-0.22,2.74,1,0,0.16,111115,OK
32,15:54:36,9,shade,old,11,6644,0,3.72,0.035,798,0.728,2.02,29.93,6,1.42,1,2.84,30.15,29.93,30.13,1005.7,1000.37,21.558,22.411,49.72,51.69,500.4,101,3,99.13,-22,0.0364,1,-0.22,2.74,1,0,0.16,111115,OK
33,15:57:05,9,shade,old,11,6793,0,2.31,0.0321,853,0.663,2,29.85,6,1.42,1,2.84,30.13,29.85,30.13,1003.07,999.51,21.652,22.429,50.02,51.81,500.4,50,6,99.13,-22.2,0.056,1,-0.22,2.74,1,0,0.16,111115,OK
34,15:59:33,9,shade,old,11,6940.5,0,-0.381,0.0296,988,0.608,1.99,29.79,6,1.42,1,2.84,30.12,29.79,30.13,1000.36,1000.08,21.722,22.435,50.2,51.84,500.3,0,4,99.12,-22.2,0.0562,1,-0.22,2.74,1,0,0.16,111115,OK
