Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
17,11:43:40,caferana1,sh,y1,1,5831.5,0,2.98,0.0263,1.74E+03,0.611,2.25,31.79,6,1.42,1,2.84,30.15,31.79,30.03,1999.79,1991.40,23.695,24.886,54.81,57.56,300.2,1999,7,99.38,-16,-0.481,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
18,11:45:02,caferana1,sh,y1,1,5913.5,0,3.1,0.0262,1.73E+03,0.594,2.19,31.61,6,1.42,1,2.84,30.17,31.61,30.03,1999.91,1991.36,23.767,24.924,54.91,57.58,300.1,1750,5,99.37,-16,-0.476,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
19,11:46:29,caferana1,sh,y1,1,6000.5,0,3.07,0.0255,1.73E+03,0.56,2.12,31.33,6,1.42,1,2.84,30.17,31.33,30.03,1999.84,1991.48,23.843,24.934,55.06,57.58,300.2,1501,4,99.37,-16,-0.482,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
20,11:47:59,caferana1,sh,y1,1,6090.5,0,2.96,0.0249,1.74E+03,0.527,2.05,31.05,6,1.42,1,2.84,30.17,31.05,30.03,2000.24,1992.22,23.926,24.952,55.25,57.62,300.2,1251,5,99.37,-16,-0.478,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
21,11:49:21,caferana1,sh,y1,1,6172.5,0,2.9,0.024,1.74E+03,0.486,1.95,30.69,6,1.42,1,2.84,30.14,30.69,30.03,2000.14,1992.40,23.989,24.936,55.50,57.69,300.2,1000,4,99.37,-16,-0.476,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
22,11:50:56,caferana1,sh,y1,1,6267.5,0,2.89,0.0231,1.73E+03,0.446,1.87,30.35,6,1.42,1,2.84,30.09,30.35,30.03,1999.94,1992.39,24.049,24.918,55.80,57.82,300.1,801,3,99.37,-16.2,-0.478,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
23,11:52:18,caferana1,sh,y1,1,6349.5,0,2.58,0.0222,1.75E+03,0.406,1.77,29.91,6,1.42,1,2.84,30.05,29.91,30.03,1999.93,1993.16,24.084,24.875,56.02,57.86,300.2,501,4,99.37,-16.2,-0.478,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
24,11:53:40,caferana1,sh,y1,1,6431.5,0,2.37,0.0212,1.76E+03,0.372,1.69,29.59,6,1.42,1,2.84,30.01,29.59,30.03,1999.95,1993.73,24.123,24.847,56.23,57.91,300.2,301,4,99.37,-16.4,-0.479,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
25,11:55:02,caferana1,sh,y1,1,6513.5,0,2.27,0.021,1.77E+03,0.357,1.65,29.41,6,1.42,1,2.84,29.98,29.41,30.03,1999.74,1993.78,24.156,24.853,56.41,58.04,300.1,201,5,99.37,-16.5,-0.478,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
26,11:56:30,caferana1,sh,y1,1,6601.5,0,1.82,0.0205,1.8E+03,0.34,1.61,29.23,6,1.42,1,2.84,29.95,29.23,30.03,2000.25,1995.27,24.187,24.849,56.58,58.13,300.2,101,3,99.37,-16.6,-0.482,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
27,11:57:53,caferana1,sh,y1,1,6684.5,0,0.949,0.0204,1.87E+03,0.332,1.58,29.12,6,1.42,1,2.84,29.92,29.12,30.03,2000.19,1996.97,24.207,24.855,56.71,58.23,300.2,50,3,99.37,-16.6,-0.481,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
28,11:59:15,caferana1,sh,y1,1,6766.5,0,0.141,0.0201,1.94E+03,0.324,1.56,29.03,6,1.42,1,2.84,29.91,29.03,30.03,2000.18,1998.61,24.235,24.866,56.83,58.31,300.2,9,6,99.37,-16.6,-0.489,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
