Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
2,16:16:42,caferana1,sh,y1,5,215.5,0,1.16,0.0655,1.9E+03,1.33,1.98,32.06,6,1.42,1,2.84,30.26,32.06,30.03,1999.89,1992.27,25.856,28.437,59.19,65.10,300.2,2000,7,99.01,-15.6,-0.583,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
3,16:18:15,caferana1,sh,y1,5,308.5,0,1.04,0.0628,1.9E+03,1.26,1.95,31.86,6,1.42,1,2.84,30.27,31.86,30.03,1999.49,1992.39,25.691,28.137,58.77,64.37,300.2,1751,11,99.01,-15.6,-0.586,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,16:19:37,caferana1,sh,y1,5,390.5,0,1.22,0.0612,1.9E+03,1.18,1.88,31.57,6,1.42,1,2.84,30.28,31.57,30.03,1999.95,1992.81,25.804,28.097,59.02,64.27,300.2,1500,7,99.01,-15.7,-0.582,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,16:20:59,caferana1,sh,y1,5,472.5,0,1.22,0.0611,1.9E+03,1.13,1.81,31.22,6,1.42,1,2.84,30.26,31.22,30.03,1999.95,1992.99,25.673,27.878,58.80,63.85,300.2,1250,7,99.01,-15.7,-0.573,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,16:22:28,caferana1,sh,y1,5,561.5,0,1.17,0.0581,1.9E+03,1.03,1.73,30.86,6,1.42,1,2.84,30.23,30.86,30.03,1999.71,1993.27,25.782,27.784,59.13,63.72,300.2,1001,7,99.01,-15.8,-0.577,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,16:23:51,caferana1,sh,y1,5,644.5,0,1.18,0.058,1.91E+03,0.986,1.65,30.51,6,1.42,1,2.84,30.18,30.51,30.03,1999.66,1993.38,25.696,27.611,59.09,63.50,300.2,801,7,99,-16,-0.568,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,16:25:13,caferana1,sh,y1,5,726.5,0,1.33,0.0567,1.9E+03,0.908,1.56,30.08,6,1.42,1,2.84,30.14,30.08,30.03,1999.77,1993.49,25.710,27.475,59.25,63.32,300.2,500,7,99,-16,-0.564,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,16:26:37,caferana1,sh,y1,5,810.5,0,1.32,0.0555,1.91E+03,0.852,1.5,29.73,6,1.42,1,2.84,30.11,29.73,30.03,2000.03,1994.00,25.618,27.275,59.17,63.00,300.2,301,7,99,-16.1,-0.562,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,16:28:02,caferana1,sh,y1,5,895.5,0,1.14,0.0549,1.91E+03,0.819,1.45,29.54,6,1.42,1,2.84,30.08,29.54,30.03,1999.95,1994.41,25.640,27.232,59.32,63.00,300.2,200,7,99.01,-16.2,-0.557,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,16:29:27,caferana1,sh,y1,5,980.5,0,0.803,0.0538,1.92E+03,0.786,1.43,29.36,6,1.42,1,2.84,30.05,29.36,30.03,1999.85,1995.10,25.557,27.087,59.22,62.77,300.2,101,7,99.01,-16.1,-0.557,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,16:30:50,caferana1,sh,y1,5,1063.0,0,0.138,0.0538,1.95E+03,0.774,1.4,29.25,6,1.42,1,2.84,30.02,29.25,30.03,1999.95,1996.59,25.539,27.046,59.27,62.77,300.2,51,11,99,-16.2,-0.557,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
