Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
45,10:46:05,232,shade,y2_or_y1,4,7444.5,0,-0.824,0.00988,230,0.19,1.85,30.19,6,1.42,1,2.84,29.47,30.19,29.55,100.04,101.01,24.559,24.781,59.00,59.54,500.4,2000,2,99.27,5.9,0.217,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
46,10:47:32,232,shade,y2_or_y1,4,7531.5,0,-0.802,0.00915,190,0.177,1.86,30.25,6,1.42,1,2.84,29.48,30.25,29.55,52.20,53.15,24.573,24.780,59.00,59.49,500.4,1999,3,99.27,5.93,0.216,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
47,10:48:59,232,shade,y2_or_y1,4,7619.0,0,-0.75,0.00918,226,0.178,1.86,30.25,6,1.42,1,2.84,29.50,30.25,29.55,98.60,99.48,24.583,24.791,58.97,59.47,500.4,1999,2,99.27,5.88,0.217,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
48,10:50:26,232,shade,y2_or_y1,4,7705.5,0,-0.647,0.0093,257,0.181,1.87,30.29,6,1.42,1,2.84,29.50,30.29,29.55,151.44,152.18,24.600,24.811,58.99,59.49,500.5,2001,2,99.27,5.82,0.224,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
49,10:52:11,232,shade,y2_or_y1,4,7810.5,0,-0.469,0.00956,322,0.186,1.87,30.31,6,1.42,1,2.84,29.51,30.31,29.55,251.32,251.83,24.616,24.834,58.98,59.50,500.7,2000,2,99.26,5.36,0.225,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
50,10:53:54,232,shade,y2_or_y1,4,7913.5,0,-0.344,0.00934,398,0.183,1.88,30.36,6,1.42,1,2.84,29.52,30.36,29.55,350.72,351.05,24.639,24.853,59.01,59.52,500.4,1999,2,99.26,4.82,0.223,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
51,10:55:42,232,shade,y2_or_y1,4,8021.5,0,-0.0857,0.00935,548,0.183,1.89,30.38,6,1.42,1,2.84,29.53,30.38,29.55,551.01,551.00,24.654,24.869,59.03,59.54,500.4,1999,2,99.26,3.09,0.225,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
52,10:57:30,232,shade,y2_or_y1,4,8129.5,0,0.28,0.00957,681,0.187,1.87,30.35,6,1.42,1,2.84,29.53,30.35,29.55,750.66,750.16,24.684,24.902,59.09,59.62,500.4,1999,2,99.26,0.999,0.224,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
53,10:59:14,232,shade,y2_or_y1,4,8234.0,0,0.552,0.00914,825,0.178,1.88,30.35,6,1.42,1,2.84,29.52,30.35,29.55,950.49,949.62,24.700,24.908,59.14,59.64,500.4,1999,2,99.25,-1.58,0.225,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
54,11:01:02,232,shade,y2_or_y1,4,8342.0,0,0.672,0.00955,1E+03,0.186,1.87,30.34,6,1.42,1,2.84,29.53,30.34,29.55,1151.00,1149.94,24.728,24.945,59.17,59.69,500.5,1999,3,99.25,-4.15,0.231,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
55,11:02:47,232,shade,y2_or_y1,4,8447.0,0,0.859,0.00918,1.16E+03,0.178,1.87,30.35,6,1.42,1,2.84,29.53,30.35,29.55,1350.87,1349.55,24.755,24.964,59.26,59.76,500.4,1999,3,99.25,-7.02,0.231,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
56,11:04:33,232,shade,y2_or_y1,4,8552.5,0,1.26,0.00976,1.3E+03,0.19,1.87,30.37,6,1.42,1,2.84,29.53,30.37,29.55,1550.27,1548.41,24.784,25.006,59.31,59.84,500.4,2001,3,99.24,-10.4,0.231,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
57,11:06:16,232,shade,y2_or_y1,4,8655.5,0,1.34,0.00948,1.47E+03,0.184,1.86,30.35,6,1.42,1,2.84,29.53,30.35,29.55,1749.80,1747.81,24.793,25.008,59.34,59.85,500.5,2001,3,99.24,-13.4,0.239,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
58,11:08:11,232,shade,y2_or_y1,4,8770.5,0,1.65,0.00949,1.66E+03,0.183,1.85,30.30,6,1.42,1,2.84,29.52,30.30,29.55,2001.33,1998.91,24.800,25.013,59.39,59.91,500.4,1999,3,99.24,-18.1,0.24,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
59,11:10:08,232,shade,y2_or_y1,4,8887.5,0,1.97,0.00953,1.85E+03,0.185,1.86,30.35,6,1.42,1,2.84,29.52,30.35,29.55,2249.98,2247.11,24.808,25.024,59.41,59.92,500.1,1999,3,99.23,-22.5,0.24,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
