Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
77,12:02:12,232,shade,y2_or_y3,5,12011.5,0,-0.531,0.0102,132,0.231,2.18,30.16,6,1.42,1,2.84,29.46,30.16,29.55,51.65,52.27,21.122,21.393,50.69,51.34,500.4,1999,3,99.13,6.19,0.197,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
78,12:03:50,232,shade,y2_or_y3,5,12109.5,0,-0.35,0.0107,149,0.242,2.17,30.14,6,1.42,1,2.84,29.46,30.14,29.55,100.34,100.73,21.145,21.429,50.74,51.42,500.4,2000,2,99.12,6.15,0.202,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
79,12:05:17,232,shade,y2_or_y3,5,12197.0,0,-0.13,0.0113,163,0.254,2.17,30.14,6,1.42,1,2.84,29.47,30.14,29.55,150.57,150.67,21.177,21.475,50.80,51.52,500.4,1999,1,99.12,6.08,0.203,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
80,12:06:48,232,shade,y2_or_y3,5,12288.0,0,0.0839,0.0109,230,0.246,2.18,30.19,6,1.42,1,2.84,29.48,30.19,29.55,251.50,251.33,21.178,21.467,50.76,51.45,500.5,2001,3,99.11,5.72,0.197,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
81,12:08:38,232,shade,y2_or_y3,5,12397.5,0,0.449,0.0119,278,0.267,2.17,30.15,6,1.42,1,2.84,29.47,30.15,29.55,351.06,350.41,21.184,21.497,50.79,51.54,500.4,1999,3,99.11,5.1,0.21,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
82,12:10:23,232,shade,y2_or_y3,5,12502.5,0,0.831,0.0113,415,0.256,2.17,30.16,6,1.42,1,2.84,29.48,30.16,29.55,551.00,549.83,21.180,21.480,50.77,51.49,500.4,1999,2,99.11,3.54,0.201,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
83,12:12:09,232,shade,y2_or_y3,5,12609.0,0,1.48,0.0109,507,0.246,2.18,30.18,6,1.42,1,2.84,29.49,30.18,29.55,750.03,748.03,21.180,21.469,50.75,51.44,500.4,2000,2,99.12,1.39,0.211,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
84,12:13:51,232,shade,y2_or_y3,5,12710.5,0,1.82,0.0101,629,0.23,2.19,30.21,6,1.42,1,2.84,29.50,30.21,29.55,950.07,947.62,21.189,21.459,50.73,51.38,500.4,2001,2,99.12,-0.917,0.207,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
85,12:15:39,232,shade,y2_or_y3,5,12818.5,0,2.15,0.00964,755,0.218,2.18,30.18,6,1.42,1,2.84,29.49,30.18,29.55,1150.15,1147.27,21.196,21.452,50.78,51.39,500.4,2001,2,99.11,-3.51,0.211,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
86,12:17:28,232,shade,y2_or_y3,5,12927.5,0,2.85,0.00944,822,0.213,2.17,30.16,6,1.42,1,2.84,29.49,30.16,29.55,1349.72,1345.95,21.201,21.451,50.80,51.40,500.4,1999,2,99.11,-6.78,0.207,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
87,12:19:20,232,shade,y2_or_y3,5,13039.5,0,2.98,0.0094,992,0.213,2.18,30.17,6,1.42,1,2.84,29.49,30.17,29.55,1550.87,1546.90,21.193,21.442,50.78,51.38,500.4,2001,2,99.12,-9.7,0.211,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
88,12:20:57,232,shade,y2_or_y3,5,13137.0,0,3.75,0.00953,1.06E+03,0.216,2.18,30.19,6,1.42,1,2.84,29.49,30.19,29.55,1751.07,1746.12,21.195,21.448,50.78,51.39,500.4,2001,2,99.12,-13,0.214,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
89,12:22:43,232,shade,y2_or_y3,5,13243.0,0,3.93,0.00927,1.26E+03,0.21,2.18,30.19,6,1.42,1,2.84,29.49,30.19,29.55,2000.25,1995.04,21.191,21.438,50.77,51.36,500.4,2000,2,99.12,-17.3,0.216,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
90,12:24:30,232,shade,y2_or_y3,5,13350.0,0,4.43,0.0087,1.36E+03,0.198,2.19,30.23,6,1.42,1,2.84,29.49,30.23,29.55,2251.12,2245.28,21.195,21.428,50.76,51.32,500.4,2000,2,99.11,-21.7,0.207,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
