Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
25,13:51:49,11,shade,young,5,4270.5,0,18,0.0193,-65,0.801,4,34.80,6,1.42,1,2.84,36.55,34.80,33.44,1509.91,1481.13,14.831,16.013,23.94,25.84,399.8,1999,4,99.3,-51.3,-0.134,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
26,13:54:30,11,shade,young,5,4431.5,0,17.6,0.0167,-257,0.532,3.09,31.51,6,1.42,1,2.84,33.40,31.51,30.20,1499.19,1471.63,14.875,15.661,28.60,30.11,400.0,1501,4,99.3,-51.3,-0.134,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
27,13:56:11,11,shade,young,5,4533.0,0,17.1,0.0149,-396,0.446,2.89,30.69,6,1.42,1,2.84,33.02,30.69,30.13,1500.80,1474.10,14.899,15.557,29.25,30.55,400.0,1000,20,99.3,-51.3,-0.134,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
28,13:57:52,11,shade,young,5,4634.0,0,16.5,0.0144,-394,0.41,2.76,30.18,6,1.42,1,2.84,32.93,30.18,30.13,1500.68,1475.06,14.919,15.523,29.44,30.64,400.1,801,7,99.3,-51.3,-0.134,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
29,14:00:52,11,shade,young,5,4810.0,0,16,0.0132,-496,0.358,2.63,29.64,6,1.42,1,2.84,32.70,29.64,30.13,1499.31,1474.58,14.960,15.488,29.90,30.96,400.0,500,10,99.3,-51.3,-0.134,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
30,14:02:33,11,shade,young,5,4915.0,0,14.6,0.0133,-316,0.342,2.5,29.08,6,1.42,1,2.84,32.81,29.08,30.13,1498.75,1476.11,14.980,15.484,29.77,30.77,400.0,301,7,99.3,-51.3,-0.134,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
31,14:06:01,11,shade,young,5,5123.0,0,13.8,0.0126,-304,0.33,2.53,29.21,6,1.42,1,2.84,33.25,29.21,30.69,1501.91,1480.47,15.029,15.515,29.13,30.07,400.9,200,6,99.29,-51.3,-0.134,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
32,14:07:46,11,shade,young,5,5228.0,0,12.1,0.0121,-150,0.307,2.45,28.88,6,1.42,1,2.84,32.93,28.88,29.88,1500.95,1482.13,15.062,15.514,29.71,30.61,400.9,101,6,99.29,-51.3,-0.134,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
33,14:09:28,11,shade,young,5,5330.5,0,10.6,0.0112,-56.6,0.288,2.48,29.02,6,1.42,1,2.84,32.86,29.02,30.12,1500.01,1483.52,15.113,15.538,29.94,30.78,400.9,50,6,99.28,-51.3,-0.134,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
34,14:11:09,11,shade,young,5,5431.5,0,8.36,0.0105,177,0.269,2.48,29.01,6,1.42,1,2.84,32.82,29.01,30.14,1500.34,1487.23,15.175,15.571,30.13,30.91,400.9,9,6,99.28,-51.3,-0.134,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
35,14:12:50,11,shade,young,5,5532.5,0,6.68,0.0116,523,0.279,2.34,28.42,6,1.42,1,2.84,33.12,28.42,30.06,1499.07,1488.46,15.218,15.629,29.71,30.51,400.9,0,6,99.27,-51.3,-0.134,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
