Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
12,12:29:25,caferana,shade,young,4,3423.0,0,4.05,0.0154,1.02E+03,0.455,2.86,31.80,6,1.42,1,2.84,30.40,31.80,30.13,1508.26,1501.16,18.105,18.774,41.23,42.75,400.0,2000,29,99.28,-30.2,0.206,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,12:30:54,caferana,shade,young,4,3512.0,0,3.9,0.0138,988,0.399,2.79,31.53,6,1.42,1,2.84,30.40,31.53,30.13,1506.65,1499.90,18.127,18.714,41.28,42.61,400.0,1500,29,99.28,-30.2,0.215,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
14,12:32:22,caferana,shade,young,4,3600.0,0,3.84,0.0121,938,0.342,2.72,31.22,6,1.42,1,2.84,30.39,31.22,30.13,1507.31,1500.78,18.153,18.656,41.36,42.51,400.0,1000,28,99.27,-30.2,0.208,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
15,12:33:53,caferana,shade,young,4,3691.0,0,3.73,0.0113,916,0.313,2.68,31.06,6,1.42,1,2.84,30.38,31.06,30.13,1507.18,1500.87,18.173,18.634,41.44,42.49,400.0,801,29,99.27,-30.3,0.207,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
16,12:35:21,caferana,shade,young,4,3779.0,0,3.53,0.0106,912,0.287,2.62,30.84,6,1.42,1,2.84,30.36,30.84,30.13,1506.87,1500.93,18.188,18.611,41.51,42.48,400.0,501,30,99.27,-30.5,0.209,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
17,12:36:48,caferana,shade,young,4,3865.5,0,3.24,0.00993,924,0.266,2.58,30.69,6,1.42,1,2.84,30.34,30.69,30.13,1505.62,1500.16,18.215,18.607,41.62,42.52,399.9,301,31,99.27,-30.3,0.208,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
19,12:39:58,caferana,shade,young,4,4055.5,0,2.92,0.00927,943,0.241,2.51,30.36,6,1.42,1,2.84,30.30,30.36,30.13,1504.64,1499.71,18.233,18.588,41.76,42.57,400.0,101,31,99.26,-30.5,0.14,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
20,12:41:26,caferana,shade,young,4,4143.5,0,2.15,0.00877,1.05E+03,0.227,2.49,30.30,6,1.42,1,2.84,30.29,30.30,30.13,1504.43,1500.70,18.233,18.567,41.79,42.55,400.0,50,31,99.26,-30.6,0.135,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
21,12:43:23,caferana,shade,young,4,4261.0,0,0.659,0.00831,1.32E+03,0.214,2.48,30.25,6,1.42,1,2.84,30.28,30.25,30.13,1501.77,1500.30,18.238,18.553,41.81,42.53,400.0,9,31,99.25,-30.5,0.136,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
22,12:44:50,caferana,shade,young,4,4348.0,0,0.429,0.00793,1.36E+03,0.202,2.45,30.13,6,1.42,1,2.84,30.27,30.13,30.13,1501.90,1500.80,18.246,18.543,41.86,42.54,400.0,0,31,99.24,-30.8,0.132,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
23,12:46:17,caferana,shade,young,4,4434.5,0,0.199,0.00726,1.4E+03,0.185,2.45,30.12,6,1.42,1,2.84,30.26,30.12,30.13,1501.87,1501.16,18.250,18.521,41.88,42.50,400.0,0,32,99.24,-30.8,0.135,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
24,12:47:44,caferana,shade,young,4,4521.5,0,0.0315,0.00743,1.43E+03,0.189,2.45,30.11,6,1.42,1,2.84,30.26,30.11,30.13,1501.40,1500.92,18.217,18.495,41.81,42.45,400.0,0,31,99.24,-30.6,0.139,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
