Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
17,09:33:40,232,shade,old,2,3099.5,0,4.53,0.0146,1.45E+03,0.266,1.75,30.11,6,1.42,1,2.84,29.49,30.11,29.55,1999.71,1993.64,25.192,25.502,60.55,61.29,500.5,2000,5,99.42,-18.1,0.181,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
18,09:35:07,232,shade,old,2,3186.5,0,5.46,0.0138,1.31E+03,0.235,1.65,29.71,6,1.42,1,2.84,29.49,29.71,29.55,1999.60,1992.49,25.254,25.529,60.70,61.36,500.4,1500,6,99.42,-18.2,0.177,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
19,09:36:43,232,shade,old,2,3283.0,0,5.78,0.0138,1.28E+03,0.227,1.59,29.46,6,1.42,1,2.84,29.48,29.46,29.55,1999.63,1992.16,25.325,25.590,60.90,61.54,500.4,1251,6,99.41,-18,0.183,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
20,09:38:10,232,shade,old,2,3370.0,0,6.47,0.0142,1.22E+03,0.224,1.52,29.20,6,1.42,1,2.84,29.45,29.20,29.55,1999.39,1991.10,25.381,25.642,61.13,61.76,500.5,999,6,99.4,-18.2,0.185,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
21,09:39:37,232,shade,old,2,3456.5,0,6.82,0.0137,1.15E+03,0.208,1.47,28.98,6,1.42,1,2.84,29.43,28.98,29.55,1999.36,1990.69,25.427,25.670,61.31,61.89,500.6,800,6,99.4,-18.2,0.173,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
22,09:41:09,232,shade,old,2,3548.5,0,6.25,0.0136,1.22E+03,0.196,1.39,28.67,6,1.42,1,2.84,29.40,28.67,29.55,1999.28,1991.33,25.469,25.699,61.51,62.06,500.5,500,5,99.4,-18.2,0.174,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
23,09:42:36,232,shade,old,2,3636.0,0,6.07,0.0127,1.19E+03,0.176,1.34,28.47,6,1.42,1,2.84,29.39,28.47,29.55,1999.63,1991.93,25.518,25.724,61.67,62.17,500.5,300,3,99.4,-18.3,0.173,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
24,09:44:09,232,shade,old,2,3728.5,0,5.71,0.0122,1.21E+03,0.165,1.31,28.32,6,1.42,1,2.84,29.36,28.32,29.55,1999.43,1992.18,25.548,25.741,61.85,62.32,500.4,200,6,99.4,-18.5,0.18,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
25,09:45:36,232,shade,old,2,3815.5,0,4.47,0.0124,1.38E+03,0.164,1.28,28.20,6,1.42,1,2.84,29.34,28.20,29.55,1999.30,1993.55,25.568,25.760,61.94,62.41,500.5,100,3,99.4,-18.8,0.175,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
26,09:47:04,232,shade,old,2,3904.0,0,2.66,0.011,1.57E+03,0.144,1.26,28.11,6,1.42,1,2.84,29.33,28.11,29.55,1999.16,1995.63,25.581,25.749,62.05,62.46,500.5,49,3,99.4,-18.6,0.179,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
27,09:48:32,232,shade,old,2,3992.0,0,0.563,0.0113,1.88E+03,0.145,1.24,28.03,6,1.42,1,2.84,29.31,28.03,29.55,1999.05,1998.03,25.557,25.727,62.04,62.45,500.5,9,3,99.4,-18.5,0.18,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
28,09:49:59,232,shade,old,2,4078.5,0,0.359,0.0111,1.91E+03,0.142,1.24,28.00,6,1.42,1,2.84,29.31,28.00,29.55,1999.74,1998.97,25.546,25.712,62.02,62.42,500.5,0,4,99.4,-18.8,0.169,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
