Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
9,14:41:10,9,sun,old,9,2238,0,14.6,0.0991,703,2.43,2.43,31.51,6,1.42,1,2.84,30.33,31.51,30.13,1000.03,979.67,19.411,22.264,44.36,50.88,500.4,2001,8,99.22,-21.7,0.088,1,-0.22,2.74,1,0,0.16,111115,OK
10,14:43:11,9,sun,old,9,2359,0,14.2,0.0867,679,2.11,2.4,31.23,6,1.42,1,2.84,30.33,31.23,30.13,1000.24,980.75,19.403,21.875,44.33,49.97,500.4,1500,9,99.21,-21.7,0.088,1,-0.22,2.74,1,0,0.16,111115,OK
11,14:45:12,9,sun,old,9,2480,0,12.9,0.0772,676,1.83,2.34,30.84,6,1.42,1,2.84,30.31,30.84,30.13,1000.35,982.69,19.378,21.526,44.32,49.23,500.4,1001,9,99.21,-21.7,0.088,1,-0.22,2.74,1,0,0.16,111115,OK
12,14:47:23,9,sun,old,9,2611,0,9.52,0.0728,741,1.65,2.23,30.35,6,1.42,1,2.84,30.28,30.35,30.13,1000.07,986.71,19.347,21.286,44.32,48.77,500.6,501,7,99.21,-21.7,0.088,1,-0.22,2.74,1,0,0.16,111115,OK
13,14:49:24,9,sun,old,9,2732,0,7.58,0.067,773,1.48,2.18,30.04,6,1.42,1,2.84,30.25,30.04,30.13,1000.05,989.2,19.338,21.08,44.39,48.4,500.4,199,3,99.2,-21.7,0.088,1,-0.22,2.74,1,0,0.16,111115,OK
14,14:51:25,9,sun,old,9,2853,0,4.83,0.0634,836,1.39,2.16,29.88,6,1.42,1,2.84,30.21,29.88,30.13,1000.15,992.7,19.285,20.92,44.37,48.13,500.4,101,2,99.2,-21.7,0.088,1,-0.22,2.74,1,0,0.16,111115,OK
15,14:53:54,9,sun,old,9,3001.5,0,2.59,0.0571,888,1.25,2.15,29.74,6,1.42,1,2.84,30.16,29.74,30.13,1000.29,995.69,19.204,20.673,44.3,47.68,500.4,50,3,99.2,-21.9,0.0305,0.7,-0.22,2.74,1,0,0.16,111115,OK
16,14:56:23,9,sun,old,9,3150.5,0,-0.517,0.0544,980,1.19,2.13,29.62,6,1.42,1,2.84,30.15,29.62,30.13,1000.37,999.57,19.135,20.527,44.18,47.39,500.4,0,3,99.2,-22,0.0342,1,-0.22,2.74,1,0,0.16,111115,OK
