Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
23,10:10:03,232,sunish,young,2,3063.0,0,0.0966,0.00536,214,0.112,2.02,29.77,6,1.42,1,2.84,29.39,29.77,29.55,250.66,250.47,21.871,22.035,52.82,53.22,400.0,1999,5,99.37,6.16,0.215,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
24,10:11:58,232,sunish,young,2,3178.5,0,0.155,0.00546,294,0.115,2.02,29.79,6,1.42,1,2.84,29.39,29.79,29.55,350.43,350.14,21.838,22.006,52.76,53.16,400.0,1999,6,99.37,5.72,0.205,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
25,10:13:56,232,sunish,young,2,3296.0,0,0.603,0.0063,381,0.132,2.03,29.80,6,1.42,1,2.84,29.40,29.80,29.55,551.36,550.35,21.801,21.995,52.62,53.09,399.9,1999,6,99.37,4.27,0.21,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
26,10:15:50,232,sunish,young,2,3410.0,0,1.04,0.00648,471,0.136,2.03,29.80,6,1.42,1,2.84,29.41,29.80,29.55,750.06,748.35,21.772,21.972,52.53,53.01,400.0,1999,6,99.36,2.22,0.207,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
27,10:17:34,232,sunish,young,2,3514.0,0,1.66,0.00683,533,0.144,2.03,29.79,6,1.42,1,2.84,29.41,29.79,29.55,950.80,948.10,21.744,21.954,52.47,52.98,400.0,1999,6,99.35,-0.274,0.207,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
28,10:19:27,232,sunish,young,2,3627.0,0,2.05,0.00718,660,0.152,2.03,29.81,6,1.42,1,2.84,29.41,29.81,29.55,1151.30,1147.97,21.715,21.937,52.39,52.93,400.0,1999,6,99.35,-2.61,0.211,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
29,10:21:29,232,sunish,young,2,3749.5,0,2.59,0.00728,740,0.153,2.03,29.78,6,1.42,1,2.84,29.40,29.78,29.55,1349.62,1345.43,21.699,21.923,52.38,52.92,400.0,1999,5,99.35,-5.6,0.206,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
30,10:23:21,232,sunish,young,2,3861.5,0,2.95,0.00752,876,0.158,2.02,29.76,6,1.42,1,2.84,29.40,29.76,29.55,1550.17,1545.38,21.685,21.916,52.34,52.90,400.0,1999,7,99.34,-8.51,0.21,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
31,10:25:07,232,sunish,young,2,3967.0,0,3.38,0.00761,986,0.161,2.04,29.80,6,1.42,1,2.84,29.40,29.80,29.55,1750.54,1745.05,21.679,21.914,52.31,52.88,399.9,1999,5,99.34,-11.7,0.209,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
32,10:26:47,232,sunish,young,2,4067.0,0,3.85,0.00811,1.18E+03,0.171,2.03,29.77,6,1.42,1,2.84,29.39,29.77,29.55,1999.31,1993.03,21.662,21.912,52.31,52.91,400.0,1999,6,99.33,-16,0.213,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
33,10:28:46,232,sunish,young,2,4187.0,0,4.79,0.00812,1.24E+03,0.171,2.03,29.76,6,1.42,1,2.84,29.40,29.76,29.55,2249.53,2241.77,21.656,21.906,52.25,52.86,400.0,2001,6,99.34,-20.4,0.214,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
