Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
2,11:16:59,504,shade,y/m,4,283.5,0,13.2,0.169,1.81E+03,3.14,1.89,30.41,6,1.42,1,2.84,30.16,30.41,30.13,2028.76,1999.60,20.306,24.897,46.92,57.53,400.0,2000,5,99.36,-45.8,0.089,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
3,11:18:00,504,shade,y/m,4,344.5,0,12.6,0.155,1.81E+03,2.9,1.89,30.29,6,1.42,1,2.84,30.15,30.29,30.13,2029.07,2001.53,20.315,24.558,46.96,56.77,400.2,1500,5,99.35,-45.8,0.089,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,11:19:06,504,shade,y/m,4,410.5,0,11.8,0.14,1.8E+03,2.64,1.9,30.16,6,1.42,1,2.84,30.15,30.16,30.13,2025.61,2000.03,20.323,24.190,47.00,55.94,400.0,1001,5,99.35,-45.8,0.089,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,11:20:10,504,shade,y/m,4,474.5,0,11.3,0.133,1.8E+03,2.52,1.9,30.08,6,1.42,1,2.84,30.13,30.08,30.13,2025.83,2001.27,20.321,24.004,47.03,55.55,399.9,799,5,99.35,-45.8,0.089,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,11:21:20,504,shade,y/m,4,544.5,0,10.2,0.123,1.8E+03,2.33,1.89,29.96,6,1.42,1,2.84,30.10,29.96,30.13,2022.30,2000.06,20.311,23.725,47.08,54.99,400.0,501,5,99.35,-45.8,0.089,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,11:22:21,504,shade,y/m,4,605.5,0,8.97,0.117,1.81E+03,2.21,1.89,29.87,6,1.42,1,2.84,30.08,29.87,30.13,2020.69,2000.59,20.304,23.542,47.12,54.63,400.0,301,5,99.35,-45.8,0.089,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,11:23:49,504,shade,y/m,4,693.5,0,7.85,0.118,1.83E+03,2.18,1.86,29.71,6,1.42,1,2.84,30.06,29.71,30.13,2017.87,1999.53,20.293,23.493,47.16,54.60,400.0,201,5,99.35,-45.8,0.089,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,11:24:54,504,shade,y/m,4,758.5,0,5.34,0.115,1.86E+03,2.12,1.85,29.64,6,1.42,1,2.84,30.04,29.64,30.13,2014.40,2000.02,20.291,23.403,47.21,54.45,400.0,99,5,99.35,-45.8,0.089,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,11:26:05,504,shade,y/m,4,830.0,0,3.03,0.112,1.9E+03,2.08,1.84,29.60,6,1.42,1,2.84,30.02,29.60,30.13,2011.10,2000.32,20.292,23.334,47.25,54.33,400.0,50,6,99.34,-45.8,0.089,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,11:27:42,504,shade,y/m,4,926.5,0,0.759,0.106,1.93E+03,1.97,1.85,29.56,6,1.42,1,2.84,30.01,29.56,30.13,2006.07,1999.01,20.311,23.203,47.33,54.07,400.0,9,5,99.34,-46.3,0.0395,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,11:29:12,504,shade,y/m,4,1017.0,0,0.29,0.105,1.94E+03,1.94,1.84,29.49,6,1.42,1,2.84,30.01,29.49,30.13,2006.11,1999.86,20.328,23.166,47.36,53.98,400.0,0,6,99.34,-46.4,0.0318,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,11:30:42,504,shade,y/m,4,1107.0,0,0.106,0.102,1.94E+03,1.9,1.85,29.52,6,1.42,1,2.84,30.03,29.52,30.13,2005.73,1999.88,20.358,23.138,47.40,53.87,400.0,0,5,99.34,-46.4,0.0369,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
14,11:34:54,504,shade,y/m,4,1359.0,0,0.242,0.0817,1.93E+03,1.57,1.91,29.60,6,1.42,1,2.84,30.05,29.60,30.13,2005.61,2000.52,20.422,22.730,47.47,52.83,400.0,0,5,99.33,-46.2,0.0489,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
